country,SP.POP.TOTL,NY.GDP.PCAP.CD,SP.DYN.LE00.IN,SE.SEC.ENRR,SL.UEM.TOTL.ZS,SI.POV.GINI
TUR,78218479.0,11049.9951100942,76.646,107.243186950684,10.304,
TKM,6215770.0,5759.497903834,68.782,,4.016,
TCA,36605.0,25736.101625461,76.912,80.4947283049473,,
TUV,10963.0,3357.83417700071,64.06,88.8352890014648,,
UGA,37531446.0,862.934610355811,61.086,,2.679,
UKR,45784896.0,2094.47387695313,71.189512195122,90.5028991699219,9.14,25.5
ARE,8505237.0,43534.9972681733,79.223,,1.793,
GBR,65116219.0,44964.3911437292,80.9560975609756,126.094779968262,5.517,33.3
USA,320738994.0,57040.2082136605,78.690243902439,97.6525497436523,5.28,41.2
URY,3368017.0,17125.9016800298,77.483,108.043296813965,7.488,40.1
UZB,30749346.0,2803.19018021751,70.475,92.2428124917835,5.15,
VUT,266101.0,2746.59171880997,69.513,53.3900909423828,5.254,
VEN,30573972.0,,73.006,89.0915222167969,6.137,
VNM,92823254.0,2577.56885340113,73.876,88.1982830183815,1.848,
VIR,107712.0,34007.3529411765,79.0170731707317,,12.422,
PSE,4270092.0,3272.15432360708,74.406,86.9270935058594,23.005,
YEM,31159379.0,1362.17379435676,65.873,,17.9,
ZMB,16399089.0,1295.87788680068,61.208,,5.942,55.8
ZWE,14399013.0,1386.42284717709,59.591,,5.377,
