country,SP.POP.TOTL,NY.GDP.PCAP.CD,SP.DYN.LE00.IN,SE.SEC.ENRR,SL.UEM.TOTL.ZS,SI.POV.GINI
MAR,36584208.0,3268.0302734375,73.92,81.3967819213867,11.223,
MOZ,30783688.0,462.433876479921,61.172,41.2977552767328,3.921,
MMR,53016522.0,1490.21683548367,66.797,,1.476,
NAM,2728762.0,3878.58982993966,62.829,,21.004,
NRU,11643.0,10695.6993301601,63.437,77.8472213745117,,
NPL,28966574.0,1154.21517578318,69.246,84.5885009765625,12.975,
NLD,17441500.0,53467.9277413737,81.3585365853659,136.284164428711,3.82,26.0
NCL,284176.0,33270.330597637,80.8349512195122,,13.558,
NZL,5090200.0,41785.6922905898,82.2560975609756,116.893188476562,4.595,
NIC,6565267.0,1931.61515811642,71.795,,6.201,
NER,23717613.0,579.512495758236,61.451,,0.594,
NGA,213996181.0,2019.65706326224,52.887,45.889949798584,5.742,
MKD,1856124.0,6659.59651070776,74.3951219512195,82.4416732788086,16.575,
MNP,47528.0,18220.8382427201,,,,
NOR,5379475.0,68340.0181033702,83.209756097561,119.941543579102,4.424,
OMN,4522497.0,16784.8630630058,74.757,94.6001205444336,2.94,
PAK,235001746.0,1278.39735206896,66.269,,6.127,
PLW,17792.0,14556.5896891862,,150.818542480469,,
PAN,4293261.0,13290.5608347594,76.657,,14.663,
PNG,9815746.0,2429.61134586681,65.787,,2.883,
PRY,6603739.0,5365.47220721191,73.182,84.7876205444336,7.548,43.5
PER,32838579.0,6133.32552410183,73.665,97.5327911376953,7.179,43.7
PHL,112081264.0,3227.57910235199,72.119,89.2450874983032,2.522,
POL,37899070.0,15987.5753654045,76.5,112.576263427734,3.155,28.5
PRT,10297081.0,22299.4044062173,80.9756097560976,118.360000610352,6.801,34.7
PRI,3281557.0,31427.4291136799,78.041,,8.89,
QAT,2794148.0,51683.5054353851,79.099,107.666152954102,0.14,
ROU,19265250.0,13082.3006559554,74.2536585365854,86.416877746582,5.035,34.6
RUS,145245148.0,10108.3271484375,71.3387804878049,92.7522506713867,5.62,33.7
RWA,13065837.0,778.701538550324,66.774,,11.829,
WSM,211944.0,4099.6600907147,72.768,,7.435,
SMR,34770.0,44426.6463400658,,61.8604698181152,,
STP,217435.0,2167.22001796925,67.785,,9.686,
SAU,31552510.0,23271.4037647084,76.239,103.277328491211,7.66,
SEN,16789219.0,1461.08720350553,68.006,46.3485488891602,3.437,
SRB,6899126.0,8098.70955668849,74.4780487804878,92.6907577514648,9.011,35.0
SYC,98462.0,14041.4754074575,77.2365853658537,102.188179016113,,
SLE,7912558.0,845.313836261458,59.763,60.2446899414062,3.508,
SGP,5685807.0,61466.803676358,83.5439024390244,103.199592590332,4.1,
SXM,41008.0,30150.8998380477,74.584,,,
SVK,5458827.0,19735.4858280801,76.8658536585366,90.813346862793,6.719,24.2
SVN,2102419.0,25392.0651093612,80.5317073170732,110.359169006348,4.971,24.0
SLB,744498.0,2063.33101522108,70.199,,0.864,
SOM,16651191.0,518.184778494176,55.967,,19.413,
ZAF,60562381.0,5580.60383075189,65.252,110.017478942871,29.217,
SSD,10698467.0,,55.48,,14.319,
ESP,47365655.0,27230.3599933583,82.3317073170732,117.367767333984,15.532,34.9
LKA,21919000.0,3846.17449566736,76.393,,5.364,
KNA,46870.0,18859.0190361046,71.627,,,
LCA,178250.0,8411.19941821204,73.416,89.2604064941406,25.224,
MAF,31786.0,,80.149,,,
VCT,103526.0,8395.09988902412,72.126,127.234155396447,20.636,
SDN,46789231.0,577.795227050781,65.614,,11.958,
SUR,612317.0,4755.39221710693,72.561,73.4222869873047,8.76,
SWE,10353442.0,52653.7565934247,82.3560975609756,136.426132202148,8.291,28.9
CHE,8638167.0,85897.7843338323,83.0,104.211616516113,4.817,33.7
SYR,21049429.0,572.355289831901,72.14,37.9215202331543,15.191,
TJK,9749310.0,834.311715460625,67.994,87.265519219648,12.321,
TZA,60972798.0,1117.41528320313,66.408,30.7196795590619,2.781,
THA,71641484.0,6985.64393892574,79.274,108.779183101525,1.099,35.0
TLS,1326053.0,1630.86935439232,68.475,85.2118561659316,2.782,
TGO,8669720.0,853.578220263722,61.035,,2.225,
TON,105704.0,4700.44932800575,70.928,90.4639980016237,2.699,
TTO,1366725.0,15224.5083495616,74.406,,4.206,
TUN,11974057.0,3548.65363663803,75.292,,17.656,
TUR,83384680.0,8638.73903848102,75.85,112.527458190918,13.148,43.0
TKM,6949912.0,6592.60146027748,68.687,88.4751815795898,4.501,
TCA,44386.0,17452.6578046047,75.001,90.964590964591,,
TUV,10399.0,4976.11254109571,64.382,77.3861999511719,,
UGA,44457152.0,845.766463890124,62.851,,3.831,
UKR,44680014.0,3709.76928710938,71.1851219512195,84.4283294677734,9.475,25.6
ARE,9401038.0,37173.8754100281,78.946,83.4686508178711,4.294,
GBR,67081234.0,40201.6812422928,80.3512195121951,114.651649475098,4.472,32.6
USA,331526933.0,64411.3731779373,76.9804878048781,100.509819030762,8.055,39.7
URY,3398968.0,15789.6857422214,78.43,116.991828918457,10.413,40.2
UZB,33586372.0,1978.28051860763,70.331,90.0642970154019,5.293,
VUT,298858.0,3042.98711598286,70.299,54.3274688720703,4.046,
VEN,28444077.0,,71.095,,7.53,
VNM,98079191.0,3534.03953482647,75.378,93.7899476841572,2.103,36.8
VIR,106290.0,39787.3741650202,79.819512195122,,15.191,
PSE,4803269.0,3233.56863835858,74.403,89.0763092041016,25.895,
YEM,36134863.0,559.564672794182,64.65,,17.953,
ZMB,19059395.0,951.644316655957,62.38,,6.033,
ZWE,15526888.0,1730.41348946953,61.124,,8.621,
