country,year,SP.POP.TOTL,NY.GDP.PCAP.CD,SP.DYN.LE00.IN,SE.SEC.ENRR,SL.UEM.TOTL.ZS,SI.POV.GINI
AFE,2017,640058741.0,1520.17129839287,62.9248101271544,43.140209197998,7.34633063442169,
AFW,2017,440882906.0,1560.16299864482,56.8266341483196,43.2377891540527,4.27419620395302,
ARB,2017,428315886.0,6005.39012863954,71.3208697263729,68.7453384399414,11.1131075474704,
CSS,2017,3009507.0,11775.3905011905,72.4332461951409,87.490592956543,10.8687666228548,
CEB,2017,102656954.0,14294.4470174706,76.927648854983,101.303939819336,5.2841808780617,
EAR,2017,3274060446.0,3496.77164846492,70.5180253492573,73.4838790893555,6.74512514660323,
EAS,2017,2333475520.0,10428.6321782284,76.2011424337729,87.369499206543,3.86565024174878,
EAP,2017,2087238522.0,7133.00005851308,75.3757926446065,85.6996994018555,3.91171481452964,
TEA,2017,2061449949.0,7213.3607178978,75.4057549374554,85.5626831054688,3.9281651171289,
EMU,2017,345333240.0,37181.1343044604,81.8863805892422,107.615287780762,9.07353382127944,
ECS,2017,916236104.5,23755.738099932,77.7628908281095,105.279472351074,7.49984064761938,
ECA,2017,244530211.5,6111.81706371512,73.8912859142249,101.273208618164,8.99139932461298,
TEC,2017,458504366.5,8555.47638597094,73.860189712581,100.272048950195,7.12553159533485,
EUU,2017,446177810.0,33327.6674894487,80.9288274367457,107.418952941895,8.1361540581006,
FCS,2017,933013886.0,1702.90845193168,61.6159105183906,45.6167793273926,5.83065194153996,
HPC,2017,779389964.0,931.787880001889,62.5295170404504,40.834300994873,4.38423696813415,
IBD,2017,4766267453.0,6032.45731643701,73.6330516756842,84.3879089355469,6.40287394664439,
IBT,2017,6440496862.5,4816.55669747848,70.9995074332105,71.8205795288086,5.98894655735445,
IDB,2017,563290702.0,1796.8728729754,60.8446699300444,44.5074195861816,4.40074784684901,
IDX,2017,1110938707.5,1130.91814340942,64.8497498378811,47.7038688659668,4.63129659471406,
IDA,2017,1674229409.5,1354.977107485,63.5022497521401,46.5971412658691,4.55218158153548,
LTE,2017,2285977088.5,9032.31848043335,76.3982706820151,90.4111099243164,5.26018396626271,
LCN,2017,630329435.0,9311.41109369302,74.7336265116992,96.4750823974609,8.02872636932909,
LAC,2017,566870356.0,8843.08534628217,74.6405960808436,96.9852981567383,8.21313906908208,
TLA,2017,614776664.0,9165.48671951323,74.6564591424147,96.4621429443359,8.12755696513525,
LDC,2017,1008993468.0,1024.16282643038,64.4004122819752,45.813419342041,4.96947310302949,
LMY,2017,6208763934.5,4507.72590697511,70.8834200003221,71.6287612915039,5.99678702133241,
MEA,2017,459925735.0,7340.26873932877,73.5281125554958,76.777702331543,10.8782866566393,
MNA,2017,397804712.0,3768.7597495354,72.7140285449284,74.1079177856445,12.7533116885525,
TMN,2017,393349907.0,3770.44041543684,72.6900305612885,73.8181762695312,12.6211399238132,
MIC,2017,5584206934.5,4939.46308269855,71.8047791777568,76.0447769165039,6.08241674326591,
NAC,2017,361730781.0,58796.5168500385,78.8724720142716,100.061958312988,4.58063287231783,
OED,2017,1347317014.0,37639.2781863476,79.9315533155999,106.690010070801,5.91905932855463,
OSS,2017,13487767.0,13345.5544904233,73.0248701181191,69.3405075073242,8.07615443502866,
PSS,2017,2509999.0,4097.0009326156,69.1290314691474,72.6160888671875,3.36772015164207,
PST,2017,1106644744.0,43153.6162371414,80.5794980607462,105.692481994629,5.85285687668993,
PRE,2017,920568701.0,1320.99787807449,59.899663962263,41.5494995117188,5.28460931909098,
SST,2017,19007273.0,11875.6287573479,72.418736154973,72.3937683105469,7.95839164590901,
SAS,2017,1831474329.0,1874.9491911349,69.9669332766067,67.9472579956055,6.87856489772945,
TSA,2017,1831474329.0,1874.9491911349,69.9669332766067,67.9472579956055,6.87856489772945,
SSF,2017,1080941647.0,1536.48268492506,60.4375513983323,43.1820907592773,6.07750640915143,
SSA,2017,1080845804.0,1535.06887591976,60.4363221585495,43.1789283752441,6.07750640915143,
TSS,2017,1080941647.0,1536.48268492506,60.4375513983323,43.1820907592773,6.07750640915143,
