country,year,SP.POP.TOTL,NY.GDP.PCAP.CD,SP.DYN.LE00.IN,SE.SEC.ENRR,SL.UEM.TOTL.ZS,SI.POV.GINI
AFE,2021,713090928,1522.59008804972,62.4490927859627,43.8453788757324,8.57738499231761,
AFW,2021,485920997,1747.84054911545,56.9464748071321,46.538330078125,4.73673176237333,
ARB,2021,460646603,6445.80726093411,70.6523470396568,69.9297790527344,10.8896587837575,
CSS,2021,3111609,11920.3427576157,70.4450018132098,84.4002838134766,12.1918110382587,
CEB,2021,100647592,19144.0685537317,74.7920383016387,101.30696105957,4.46317615361708,
EAR,2021,3432026092,3732.86849069467,68.4344066377972,77.0382614135742,6.78633395860379,
EAS,2021,2375144416,13117.3989864275,76.3821728663599,90.4778823852539,4.05434245252657,
EAP,2021,2128553744,9795.31938942758,75.5328901017944,89.2991333007812,4.12248591657027,
TEA,2021,2102350702,9905.15440355218,75.5608849842264,89.218879699707,4.13976979107785,
EMU,2021,347094588,42978.8817916638,81.5950293897357,108.505439758301,7.72209813329502,
ECS,2021,925075848,27591.2437497041,76.6567585067198,103.10228729248,6.90965916550803,
ECA,2021,252183790,6623.50479025077,72.5756784791279,98.5267486572266,9.01039307351182,
TEC,2021,463790894,10010.7744146786,71.9994078653095,97.5864791870117,6.8319668511332,
EUU,2021,446564156,39180.3758426065,80.3253644910688,107.966026306152,7.01183843029148,
FCS,2021,1018693078,1753.54775352624,61.2320175374775,47.2509002685547,6.77761944075494,
HPC,2021,870930036,1040.03410722444,62.2852723862781,42.1223793029785,4.99025451599025,
IBD,2021,4905899020,7289.99204765957,72.1262124770037,88.0482788085938,6.33890972820408,
IBT,2021,6733337540,5707.61064306399,69.7475357708765,74.2911071777344,6.17168860176086,
IDB,2021,609556583,1827.96310627066,60.6823888070765,47.0773010253906,5.98291664974636,
IDX,2021,1217881937,1276.2327161945,64.702887987557,49.1624908447266,5.44549655001938,
IDA,2021,1827438520,1460.26675489479,63.3618186626048,48.4389801025391,5.63088102209667,
LTE,2021,2320366261,11597.4855569831,76.3723357240641,93.2939682006836,5.49510544394083,
LCN,2021,649234475,8596.3558852242,72.1362094011984,97.2764587402344,9.15752048997139,
LAC,2021,586944219,7996.40776122081,71.8925576088296,97.2480316162109,9.23355868723715,
TLA,2021,633862610,8382.65451574502,72.0644281306922,97.2340087890625,9.27350464000943,
LDC,2021,1109175268,1153.75092851568,64.1753409199014,46.954460144043,5.75302416584841,
LMY,2021,6505838578,5345.67919342271,69.6814489998854,74.0427169799805,6.19361989007564,
MEA,2021,488100624,7801.40393400528,72.6238492636692,78.821159362793,10.2348915008261,
MNA,2021,424980589,3653.70376970852,71.8224203926076,76.3790130615234,11.7584549541875,
TMN,2021,420057840,3653.41158751434,71.8030768919323,76.0955505371094,11.5984181323461,
MIC,2021,5807623372,5906.22674978763,70.5441882938138,79.0879135131836,6.24057366273373,
