country,year,SP.POP.TOTL,NY.GDP.PCAP.CD,SP.DYN.LE00.IN,SE.SEC.ENRR,SL.UEM.TOTL.ZS,SI.POV.GINI
AFE,2019,675950189,1493.78044490037,63.7547521666693,43.3796195983887,7.58441879909928,
AFW,2019,463365429,1783.65436491191,57.5002948387114,44.7819519042969,4.39527121076194,
ARB,2019,444281315,6525.21184312385,71.6884184364112,69.118408203125,10.2160980238311,
CSS,2019,3079149,12356.3216439351,72.3592307062763,86.9482421875,10.630708311815,
CEB,2019,102282674,16475.161477584,77.2655334303509,100.450477600098,3.77105548227303,
EAR,2019,3355014793,3527.54327176522,70.9856503544998,74.7986297607422,6.33471130423578,
EAS,2019,2359771090,11458.795842252,76.7873101376072,89.2525787353516,3.81472100039499,
EAP,2019,2112289891,8153.62140587102,75.992673092087,87.8379516601562,3.89330553057754,
TEA,2019,2086281644,8245.10161071216,76.027482558625,87.7351913452148,3.91055814607334,
EMU,2019,346454019,39217.3839966029,82.283095808815,107.790161132812,7.52006174791197,
ECS,2019,922811778,24958.3859753607,78.1688006056568,104.884452819824,6.64330196939745,
ECA,2019,248858341,6020.75079545102,74.3132090293624,100.81999206543,9.16433393973069,
TEC,2019,462573906,9027.50709505223,74.3227900511074,100.665657043457,6.74057982241333,
EUU,2019,447303223,35341.5703329216,81.315597211546,107.295753479004,6.68649109760781,
FCS,2019,974824119,1890.22006963616,62.2300397029659,46.364070892334,5.87910736649221,
HPC,2019,824649053,976.312547557857,63.3181064572701,41.625301361084,4.35891138556294,
IBD,2019,4845715724,6459.05649734705,74.1205814668351,85.6095504760742,6.08061330115891,
IBT,2019,6594857152,5125.36118877249,71.481364150254,72.8392715454102,5.78291780985394,
IDB,2019,585824310,1865.35605450935,61.3192585699951,46.8016014099121,5.20102075138375,
IDX,2019,1163317118,1211.19958978076,65.6053727445142,48.7309303283691,4.56547551945594,
IDA,2019,1749141428,1430.29036966118,64.169862820231,48.0613098144531,4.78267538138002,
LTE,2019,2309008599,9991.40401633086,76.9908432902863,92.1965026855469,5.185075164245,
LCN,2019,640853375,8830.90045629058,75.0357886195834,97.5276412963867,8.00039639339806,
LAC,2019,578311232,8305.98946791718,74.9568695078933,97.8212890625,8.11517433962502,
TLA,2019,625467307,8654.86209465818,74.9701507441763,97.4945602416992,8.10424349109533,
LDC,2019,1058013514,1097.76355049254,65.1258903357164,46.6323013305664,4.88614655379023,
LMY,2019,6364581440,4791.42088334726,71.368287587454,72.6416091918945,5.81381616292644,
MEA,2019,474057593,7590.75451796732,73.8450052264577,77.4066619873047,9.86675350055065,
MNA,2019,411833977,3594.10876400589,73.0722424625567,74.8191833496094,11.5250546310595,
TMN,2019,407148671,3593.38666747385,73.0472852579126,74.5302734375,11.3782438782609,
MIC,2019,5703863074,5267.9276273194,72.287300775665,77.3392868041992,5.89092200068711,
NAC,2019,366012555,63634.786103642,79.141357645223,101.005256652832,3.89170553373765,
OED,2019,1362497757,39764.8216112273,80.2213090935305,106.649032592773,5.39053209806899,
OSS,2019,13761088,14425.2470146907,73.4544672397344,70.6731719970703,7.34330990802156,
PSS,2019,2568656,4170.32118081193,69.3168650222788,73.0088577270508,3.21394324925117,
PST,2019,1113651656,45916.4122663126,80.8947718002546,105.252098083496,4.94291577083014,
PRE,2019,972302503,1469.63291800162,60.6741260357704,42.5599517822266,5.42309463719319,
SST,2019,19408893,12739.8388742478,72.7349734717726,73.3001480102539,7.36778798685856,
SAS,2019,1874070006,1952.01340084598,70.4582926588661,69.3899078369141,6.20782246480721,
TSA,2019,1874070006,1952.01340084598,70.4582926588661,69.3899078369141,6.20782246480721,
SSF,2019,1139315618,1611.67363549653,61.2110327116347,43.9840316772461,6.2679212107601,
SSA,2019,1139217993,1610.17142040812,61.2099327930725,43.9813117980957,6.2679212107601,
TSS,2019,1139315618,1611.67363549653,61.2110327116347,43.9840316772461,6.2679212107601,
WLD,2019,7776892015,11334.8430932207,72.9310338256441,76.2834396362305,5.59893079520961,
AFG,2019,37856121,496.6025042585,63.565,,11.185,
ALB,2019,2854191,5460.42823730592,79.282,99.0151519775391,11.466,30.1
DZA,2019,43294546,4468.45341883656,76.474,,12.259,
ASM,2019,50209,12886.1359517218,,,,
AND,2019,76474,41257.8045846483,,95.6840591430664,,
AGO,2019,32375632,2189.85571407618,62.448,,16.497,
ATG,2019,91364,18884.3729680383,78.691,,,
ARG,2019,44973465,9955.97478680428,77.284,110.498527526855,9.843,43.3
ARM,2019,2962500,4597.22887399548,75.439,93.6171493530273,18.304,30.0
ABW,2019,109203,31096.2050738676,76.248,140.313613891602,,
AUS,2019,25334826,54972.7017885437,82.9,144.056564331055,5.159,
