country,year,SP.POP.TOTL,NY.GDP.PCAP.CD,SP.DYN.LE00.IN,SE.SEC.ENRR,SL.UEM.TOTL.ZS,SI.POV.GINI
AFE,2022,731821393.0,1628.02452570959,62.888463228983,43.7047004699707,7.98520225155097,
AFW,2022,497387180.0,1777.23501216669,57.5891064273872,46.209041595459,3.65857318082157,
ARB,2022,471352066.0,7658.40646973315,71.0781699371824,71.2276077270508,9.9535706462442,
CSS,2022,3131505.0,15564.5576210508,70.9840247794591,84.0079803466797,10.4686964684357,
CEB,2022,100289401.0,19502.8169309088,76.7857380588102,100.121192932129,3.98425299925656,
EAR,2022,3470644834.0,4076.36749050073,69.2787025969777,77.4172668457031,5.71415089065227,
EAS,2022,2379648296.0,12889.9061983889,76.8908803193648,90.9589767456055,4.08953119146494,
EAP,2022,2133560408.0,9901.2640992049,76.1676968092332,89.8487930297852,4.22329838547477,
TEA,2022,2107261123.0,10012.4494743706,76.1999855810352,89.7771377563477,4.24554875686716,
EMU,2022,348627172.0,41454.1660248186,81.7018565021718,108.48365020752,6.74901273938354,
ECS,2022,925385334.5,27731.7695375442,77.8051871533767,103.385223388672,5.85828628199525,
ECA,2022,250834021.5,7247.73491679181,74.0288334456203,99.6902313232422,7.81560463809743,
TEC,2022,461440170.5,11351.0079692916,73.9137208375535,98.1606063842773,5.68431126209161,
EUU,2022,447847220.0,37948.9505377699,80.8009860381263,107.644416809082,6.14302856971608,
FCS,2022,1038158122.0,1892.6227062256,61.7932015299888,47.0951995849609,5.60917621194441,
HPC,2022,893906294.0,1100.34076496851,62.8252840639938,41.9157600402832,4.44664203690213,
IBD,2022,4928694202.0,7651.51702544821,72.9134905321011,88.4421234130859,5.60153415826182,
IBT,2022,6795222291.5,5974.31658352895,70.4671467913885,74.3882217407227,5.42390521920667,
IDB,2022,621500917.0,1944.22814736694,61.2894334441231,47.2192687988281,4.93203945664766,
IDX,2022,1245027172.5,1347.0495978989,65.3642224172282,48.8177299499512,4.82557394978687,
IDA,2022,1866528089.5,1545.89311822681,64.0074332547117,48.2613487243652,4.86219567527372,
LTE,2022,2324072105.5,12082.0001033778,77.1043499415742,93.72216796875,5.1827288093095,
LCN,2022,653104771.0,9714.93628741263,73.7501213409412,96.941291809082,6.91530046339274,
LAC,2022,590730587.0,9129.46662678089,73.6091669105209,96.7521896362305,6.90218174932878,
TLA,2022,637837815.0,9483.70640570626,73.6413370777084,96.8286285400391,6.99769011843402,
LDC,2022,1134585604.0,1265.52540549785,64.8802732533622,46.6062316894531,5.08844456845939,
LMY,2022,6568731933.5,5551.33514593968,70.350086648099,74.1490097045898,5.45251358879628,
MEA,2022,498070255.0,8986.09895923688,73.0940459752852,80.1914367675781,9.59898977494279,
MNA,2022,432229148.0,4030.08692997644,72.2103836349625,76.8262710571289,11.1820203083755,
TMN,2022,427185536.0,4032.80400418252,72.1958188105999,76.5630416870117,11.0310304277689,
MIC,2022,5851866150.5,6137.8170764372,71.2481866258607,79.3229598999023,5.49003888963743,
NAC,2022,372275216.0,75686.4898291323,77.8387652653349,98.4523468017578,3.83340806531303,
OED,2022,1378506989.0,44026.85925455,79.6281298121431,105.303497314453,4.98675187674652,
OSS,2022,14217718.0,16066.2729688356,72.8992435957495,71.2951431274414,7.76505567159181,
PSS,2022,2656049.0,3892.77833317117,69.7559713939711,,3.26376412674194,
PST,2022,1117561802.0,51063.6197488498,80.1357442642629,104.039581298828,4.51627598749287,
PRE,2022,1051201551.0,1567.28039263333,60.470334428071,43.3968696594238,5.002037370392,
SST,2022,20005272.0,14371.4935939925,72.1830686819043,73.2277221679688,7.63719827053479,
SAS,2022,1932289074.0,2239.51630169785,68.1474413137902,73.3410797119141,5.04134225042857,
TSA,2022,1932289074.0,2239.51630169785,68.1474413137902,73.3410797119141,5.04134225042857,
SSF,2022,1229208573.0,1688.40108402158,60.7441305312973,44.7797508239746,6.19801853183662,
SSA,2022,1229088695.0,1686.89137493204,60.7428523816943,44.7777404785156,6.19801853183662,
TSS,2022,1229208573.0,1688.40108402158,60.7441305312973,44.7797508239746,6.19801853183662,
WLD,2022,7989981519.5,12737.3150340299,71.9487167371408,77.5776596069336,5.26071088886287,
AFG,2022,40578842.0,357.261152798144,62.879,,14.1,
ALB,2022,2777689.0,6846.42614266044,76.833,97.3224716186523,10.137,
DZA,2022,45477389.0,4961.55257664733,77.129,105.932548522949,12.346,
ASM,2022,48342.0,18017.4589383973,,,,
AND,2022,79705.0,42414.0590092117,,97.4890365600586,,
AGO,2022,35635029.0,2929.69445467272,61.929,,14.602,
ATG,2022,92840.0,20117.7653310355,79.236,,,
ARG,2022,45407904.0,13935.6811110049,76.064,115.434867858887,6.805,40.7
ARM,2022,2969200.0,6571.97445545099,73.372,96.8645629882812,13.379,27.9
ABW,2022,107310.0,30559.5335346581,74.992,136.216690063477,,
AUS,2022,26014399.0,64997.0136536475,83.2,133.277267456055,3.728,
AUT,2022,9041851.0,52176.6649141178,81.0926829268293,101.458000183105,4.992,
AZE,2022,10141756.0,7770.594223351,73.488,90.9729919433594,5.65,
BHS,2022,397538.0,33044.388209429,74.358,,9.272,
BHR,2022,1524693.0,30616.2610677495,79.246,103.490966796875,1.326,
BGD,2022,169384897.0,2716.48592677835,73.698,71.8219832597133,4.593,33.4
BRB,2022,282318.0,22164.0260273876,77.706,106.39241027832,8.365,
BLR,2022,9228071.0,7994.64806074889,73.1114634146342,94.5358963012695,3.574,
BEL,2022,11680210.0,50807.2047084918,81.6975609756098,142.918075561523,5.57,
BLZ,2022,402733.0,7068.45478269722,70.962,86.9924087524414,8.763,
BEN,2022,13759501.0,1264.70765976655,59.954,45.3651695251465,1.685,
BMU,2022,64749.0,120897.311155385,81.571,75.8450123660346,,
BTN,2022,780914.0,3711.32767902157,72.229,89.9895493944796,5.947,28.5
BOL,2022,12077154.0,3643.92826968677,64.928,91.4673690795898,3.552,
BIH,2022,3204802.0,7655.59421024383,75.293,85.2915191650391,12.657,
BWA,2022,2439892.0,8329.04032229144,65.913,,23.615,
BRA,2022,210306415.0,9281.33334441234,73.425,106.031188964844,9.231,52.0
VGB,2022,38319.0,,76.373,82.6103210449219,,
BRN,2022,455370.0,36632.9280421411,74.551,88.3798616082081,5.191,
BGR,2022,6643324.0,13644.201582807,74.3609756097561,96.6720733642578,4.268,
BFA,2022,22509038.0,836.118304593682,59.766,33.724910736084,5.389,
BDI,2022,13321097.0,250.634225368744,61.977,,0.915,
CPV,2022,519741.0,4323.31362665974,74.722,,12.246,
