country,year,SP.POP.TOTL,NY.GDP.PCAP.CD,SL.UEM.TOTL.ZS,SE.SEC.ENRR,SI.POV.GINI
LVA,2023,1877445,22502.8429938094,6.465,,
LBN,2023,5773493,,11.543,64.7028884887695,
LSO,2023,2311472,916.282979328622,16.457,,
LBR,2023,5493031,771.887142089677,2.933,,
LBY,2023,7305659,6172.81246940233,18.753,,
LIE,2023,39850,,,,
LTU,2023,2871585,27786.0057829276,6.841,,
LUX,2023,666430,128678.189942826,5.184,,
MAC,2023,678800,67476.5290813306,2.235,92.5810394287109,
MDG,2023,31195932,506.159368687808,3.069,,
MWI,2023,21104482,602.343619809252,5.033,,
MYS,2023,35126298,11379.0861000632,3.869,85.5096191873777,
MDV,2023,525994,12530.3602359683,4.241,80.2538787023977,
MLI,2023,23769127,869.270234286992,2.956,39.8626403808594,
MLT,2023,552747,40395.7692064458,3.11,,
MHL,2023,38827,6678.34239060448,,,
MRT,2023,5022441,2120.82320358953,10.446,,
MUS,2023,1261041,11613.0441587588,5.571,,
MEX,2023,129739759,13790.0243428344,2.765,,
FSM,2023,112630,4084.16940424398,,,
MDA,2023,2457783,6729.41286813969,1.555,,
MCO,2023,38956,256580.515122745,,,
MNG,2023,3481145,5838.63108083902,5.503,99.1215283290276,
MNE,2023,616177,12221.4775546967,14.621,93.8724975585938,
MAR,2023,37712505,3771.4462890625,9.044,89.7980422973633,
MOZ,2023,33635160,622.985619320596,3.519,,
MMR,2023,54133798,1233.19666209269,3.032,,
NAM,2023,2963095,4168.28521087347,19.365,,
NRU,2023,11875,12982.7612060515,,88.4923095703125,
NPL,2023,29694614,1377.62603571292,10.628,89.5513635551859,
NLD,2023,17877117,64572.0059558854,3.537,,
NCL,2023,289870,,10.939,,
NZL,2023,5223100,48280.8114166238,3.729,,
NIC,2023,6823613,2612.87066241288,4.716,69.6625518798828,
NER,2023,26159867,642.937917863471,0.425,22.8998107910156,
NGA,2023,227882945,1596.63696129001,3.074,,
MKD,2023,1827816,8624.29360948531,13.174,,
MNP,2023,45143,,,,
NOR,2023,5519594,87925.0944188399,3.572,,
OMN,2023,5049269,21549.8368728192,3.176,96.7101211547852,
PAK,2023,247504495,1365.27743222493,5.408,,
PLW,2023,17727,15899.4224911152,,93.8885157824043,
PAN,2023,4458759,18686.4050961265,6.544,,48.9
PNG,2023,10389635,2957.68262498549,2.661,,
PRY,2023,6844146,6276.35113919957,5.794,79.5136489868164,
PER,2023,33845617,7906.58502858,4.899,105.903396606445,
PHL,2023,114891199,3804.8725797521,2.222,92.8650157810305,
POL,2023,36687353,22056.6661704127,2.743,,
PRT,2023,10578174,27331.2094945255,6.509,,
PRI,2023,3205691,36779.0594913858,5.725,113.633651733398,
QAT,2023,2656032,80195.874646942,0.13,,
ROU,2023,19059479,18404.2730871704,5.589,,
RUS,2023,143826130,13817.0458984375,3.076,92.4840469360352,
RWA,2023,13954471,1010.2689290184,12.352,45.1251487731934,
WSM,2023,216663,4330.17840531329,4.977,,
SMR,2023,33860,,,60.7940406799316,
STP,2023,230871,2940.93352926715,9.071,,
SAU,2023,33264292,32093.9622984711,4.008,,
SEN,2023,18077573,1706.44218024762,2.8,45.5100593566895,
SRB,2023,6623183,12281.5058488303,8.268,,
SYC,2023,119773,17879.2396545075,,74.2514419555664,
SLE,2023,8460512,757.85833603088,3.153,,
SGP,2023,5917648,84734.2559206054,3.444,,
SXM,2023,42749,38077.5444869761,,,
SVK,2023,5426740,24491.3771867262,5.84,,
SVN,2023,2120461,32610.110922729,3.652,,
SLB,2023,800005,2041.6364912646,1.455,,
SOM,2023,18358615,597.458854603159,18.941,3.29380989074707,
ZAF,2023,63212384,6022.5425418935,32.098,,
SSD,2023,11483374,,12.477,,
ESP,2023,48347910,33509.0127982139,12.179,,
LKA,2023,22037000,3827.96495637489,5.997,,
KNA,2023,46758,22573.6724791004,,,
LCA,2023,179285,13554.6651875402,11.092,90.4108428955078,
MAF,2023,27515,,,,
VCT,2023,101323,10520.4441534791,18.574,123.98773789756,
SDN,2023,50042791,2183.44140625,,,
SUR,2023,628886,5494.07409425517,7.631,76.2433776855469,
SWE,2023,10536632,55516.836477474,7.611,,
CHE,2023,8888093,99564.710026145,4.043,,
SYR,2023,23594623,,13.187,38.6241989135742,
TJK,2023,10389799,1160.81187026311,11.546,87.4183887120697,
TZA,2023,66617606,1224.48962402344,2.582,,
THA,2023,71702435,7182.02525812415,0.733,109.854930019435,
TLS,2023,1384286,1502.51963828284,1.521,,
TGO,2023,9304337,985.697512629974,1.948,65.2577590942383,
TON,2023,104597,,2.262,98.5568917668825,
TTO,2023,1367510,20016.1503008736,4.21,87.008903503418,
TUN,2023,12200431,3977.69516639644,15.106,,
TUR,2023,85325965,13105.6585678319,9.388,,
TKM,2023,7364438,8232.65225980002,4.099,,
TCA,2023,46198,30348.8114409139,,109.377401998463,
TUV,2023,9816,6344.7750188689,,85.1700668334961,
UGA,2023,48656601,1002.30913917142,2.787,,
UKR,2023,37732836,5069.703125,,,
ARE,2023,10483751,49040.6947525825,2.151,101.944969177246,
GBR,2023,68350000,49463.8554617343,3.984,,
USA,2023,334914895,82769.4122114216,3.638,,
URY,2023,3388081,22797.8111731861,8.355,,
UZB,2023,35652307,2849.51461071911,4.46,86.5340747437302,
VUT,2023,320409,3515.23633611798,5.082,117.083997498033,
VEN,2023,28300854,,5.485,95.4098510742188,
VNM,2023,100352192,4282.08851724506,1.645,,
VIR,2023,104917,,12.32,,
PSE,2023,5165775,3372.34974423005,,88.8576889038086,
YEM,2023,39390799,477.409028678688,17.091,,
ZMB,2023,20723965,1330.72780576709,5.905,,
ZWE,2023,16340822,2156.0340040333,8.759,,
