country,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
ABW,2024,2573106.850149974,892.2164204920156,41.42202369089741,2608942.4717475614,2656695.2059332286
AFG,2024,20628336.587015867,703998.6615153613,12872.265506828742,44353001.00811746,83098338.71076612
AGO,2024,58265482.40284759,1126672.0910525823,16867.373531239493,94919908.326787,155736751.84978715
AIA,2024,205232.62559928175,142.0274743585813,3.2159483189079165,209981.01164481073,217591.42856107472
ALA,2024,570211.0762931694,209.82208991352616,31.66006606870638,584917.81415652,596039.462519519
ALB,2024,8276537.230729061,151766.1923744329,3934.7937883542977,13793630.989193225,22183154.858183227
AND,2024,245637.07491723736,2776.101275468232,28.04250338980866,330772.9092929982,478739.80591199064
ARE,2024,341397955.2423667,1748237.4327307942,8387.94408015908,415848890.92773765,533994366.66129714
ARG,2024,340644695.092262,4927352.539062474,150081.62774888473,535357083.3719929,816216479.9872283
ARM,2024,11155015.354348136,76055.62505086977,2544.0035156503404,14324973.29437273,18902133.41141853
ASM,2024,356102.5493954305,147.74803395821579,18.260565042837168,365138.6375917912,373050.04061093915
ATA,2024,334494.0067041,44.3152236077,18.2943548881,340729.2509299676,343089.72299048933
ATF,2024,22690.623405334754,4.880691363304757,1.254997307800992,23176.09657547425,23435.526214610185
ATG,2024,1053614.4529013226,2148.546925951395,50.63040052518706,1126688.3899670006,1242492.5072145434
AUS,2024,557951047.7890253,8029354.632679291,162903.0531333676,839836448.3899293,1279947837.7388246
AUT,2024,71842999.87210214,309626.24239899265,13120.341316848937,86550725.09741324,105096525.81273484
AZE,2024,70325957.02600364,839348.7382275686,9777.468967796767,98425570.12840624,146395722.46295902
BDI,2024,7993192.277989912,162915.44663282807,5148.420228297882,14259636.66347431,23262569.045084342
BEL,2024,107391649.36748919,356009.75781054364,31967.11416169781,129047149.35498674,150947859.1549283
BEN,2024,8831767.65300091,193773.71884329288,7111.20441706234,17076535.62752534,28505567.79311436
BES,2024,1277826.6488288858,246.1020776687257,26.95484972837463,1292046.6569228496,1305200.1561085624
BFA,2024,11489277.435560372,730267.9118653511,29017.502171018667,40865893.0289165,81136220.9585408
BGD,2024,161736200.8423626,5098699.425179154,103098.45069396135,333993723.2904982,609513552.4971222
BGR,2024,52329077.11099901,308519.07249534753,16083.118143569023,67604280.64339559,86531512.48876639
BHR,2024,50626437.800435364,978121.8564675716,885.4875611662787,80380916.87286091,134825295.06587815
BHS,2024,7054740.5891371565,12229.022437610729,339.6946296760751,7481664.369633474,8136666.569702163
BIH,2024,29146347.779271923,391720.9223585664,3562.6393668056357,41665212.245851874,62641464.840916835
BLM,2024,150771.71938253473,499.1270275725441,64.71016449976379,182018.87797549073,208770.13077459316
BLR,2024,112114657.35476604,590394.6466803381,103364.3847954708,156606802.42772937,188293116.87865144
BLZ,2024,2129197.028029421,26970.108026049944,379.85231517840225,2984147.47734366,4422273.180819841
BMU,2024,1225105.7453392588,1216.714263901976,30.624217133386736,1266745.3384114,1331910.9704150725
BOL,2024,55413448.51344698,1440860.52339209,28281.210878494137,103205356.85666734,180165384.76744187
BRA,2024,993301339.2481902,18672159.087748624,589248.2060389521,1689527669.3500774,2707043885.288027
BRB,2024,2488531.554919875,6960.032956639699,151.26700165548598,2720070.1378365005,3092760.131613335
BRN,2024,15155193.785129882,168113.7836605963,525.1038802412746,20290096.67048843,29564392.171925135
BTN,2024,3227221.7233689707,40383.10480606913,681.0282360934235,4561905.112482123,6708318.481665079
BVT,2024,0.0,0.0,0.0,0.0,0.0
BWA,2024,18273069.689782586,120420.77534962309,2053.742471664801,22607860.20372661,29533908.106825978
CAF,2024,2956877.5664506485,228125.9071945457,9453.000731520087,12341543.575567776,25061282.562172145
CAN,2024,901595335.2115191,4000243.9453067095,134365.78556417502,1071210920.266476,1301760192.6145592
CCK,2024,17621.424318806676,5.832991495414595,0.42944463286974605,17898.233322808755,18210.557514555174
CHE,2024,37573272.05388524,213627.9386098394,8557.728652888887,47521489.36304888,60670684.31204626
CHL,2024,117738612.84801944,749327.6721092508,25851.492131464736,156317572.76768902,205509499.70340407
CHN,2024,14358260858.741396,79466130.86060134,1523783.1398393814,17488774716.071842,21974224008.064323
CIV,2024,29740277.515690528,347772.26955351623,10273.537187249909,44695896.314755,66163122.10771643
