country,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
ABW,2022,5036307.749007989,1771.543803441381,81.78084211410983,5107307.692601481,5202128.124350732
AFG,2022,40558120.73214202,1402848.8655607344,25762.480916890974,87871089.23370242,165086284.88606963
AGO,2022,114908726.22338091,2241384.1648784676,33709.15150214846,187880201.0193127,308874615.89947504
AIA,2022,393732.32511013997,283.9243601701489,6.435739191956538,403232.062665473,418443.7771050046
ALA,2022,1198586.3204477124,409.86442110982813,72.62068700594295,1230243.4206936897,1251972.432772822
ALB,2022,16378047.039311405,299130.04445429856,7895.925950123852,27298265.677866355,43841931.09975941
AND,2022,489644.8182851171,5481.9037419742435,56.298474160972965,658011.4984843379,950198.5496452113
ARE,2022,674968759.0940701,3472406.58981384,16452.670435493917,823127441.3370099,1058128203.9023358
ARG,2022,673608584.0561789,9856752.838912694,306526.5770238154,1064839917.0269889,1626802126.3497155
ARM,2022,22599985.498858433,149152.08769516335,5070.453413212515,28854053.62144016,37850015.86608425
ASM,2022,700550.6204851015,302.772612219503,36.51857285170463,718828.4797891252,735037.7146917668
ATA,2022,590593.063251954,79.568767103,32.406004535099996,601668.6915147268,605908.3010586302
ATF,2022,45664.65794389341,9.823651120584785,2.5282759464865636,46642.46872479837,47164.60330299692
ATG,2022,2100118.3203739054,4224.421114694482,102.3391114686738,2244580.9361677994,2472290.614698777
AUS,2022,1131987476.2238822,15667882.527254328,327652.68384030176,1685381153.5590138,2544764276.012748
AUT,2022,144911405.27262384,620039.3466550481,26401.17625930235,174386064.2044033,211522014.56201035
AZE,2022,140497028.7515,1676269.3871290146,19656.018187230835,196654308.58485827,292465348.31511533
BDI,2022,15859686.237587765,319258.4931441715,10201.187683590762,28181972.47950064,45837633.43751909
BEL,2022,216051734.98494104,712661.0179704821,64172.84900675508,259441100.98644078,303278440.8636688
BEN,2022,17841437.536760606,386229.4384560805,14180.131094735276,34283112.45929386,57070743.043946065
BES,2022,2535124.521048287,470.5684507885596,53.07231564950678,2562732.347160083,2587881.411340521
BFA,2022,22432123.363519307,1451635.5304489818,57850.45152827584,80888702.86071621,160953824.77431265
BGD,2022,313871286.7564143,10147181.46640485,205523.2325404085,656833209.2133063,1205182677.2109802
BGR,2022,110271121.48223218,615776.0449563384,32307.3323793312,140827786.88114503,178613635.12765834
BHR,2022,98820345.47542752,1956006.7742798321,1785.955079290271,158328295.87465447,267203937.53243503
BHS,2022,13624197.021387665,23986.4892390911,670.5256320947781,14463482.673406444,15748087.939089917
BIH,2022,59275849.969261326,786442.1442878117,7166.003521405876,84401768.0487263,126516960.92481114
BLM,2022,309621.6098977795,980.9463169747278,128.2112941273686,371317.1845696695,423891.3278302918
BLR,2022,225006408.15703434,1175361.8868790364,207719.6806382457,314110590.88276094,377192398.9872511
BLZ,2022,4189925.965285086,53061.71049128922,771.8531534561811,5878619.508122671,8708049.529062493
BMU,2022,2417237.9359766776,2427.162773695433,60.554160735787356,2500145.437047509,2630143.6491169473
BOL,2022,110092301.6071095,2870322.022448648,57840.4993581524,205714010.2137006,359024616.55950147
