country,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
ABW,2016,2400669.6286366256,1731.8377337308134,83.43705145074566,2471064.6962599615,2563752.6140316925
AFG,2016,41303266.21147991,1359307.2061471627,27390.796926108884,87208705.72709726,161315916.97860762
AGO,2016,127826942.29375492,2978912.6474576076,30484.955036520863,220055826.33539712,379826622.05176073
AIA,2016,410844.247039459,288.15610067939684,6.152380369449377,420395.51246560755,435829.65002574853
ALA,2016,697061.1137013223,379.49877278501424,41.269547285671976,719355.5160951881,739452.1120331438
ALB,2016,20013788.24252775,330349.0760301398,8885.029976663114,31892492.491999064,49910614.24666695
AND,2016,463464.43838332774,5240.703460373176,48.09710459850772,622854.122967412,902186.3806132162
ARE,2016,639498305.1573689,3355315.731031845,15062.787315291509,767713933.2178913,978298938.1120112
ARG,2016,661154889.3013247,9480566.654752262,282195.1647007148,1023906571.5832981,1552637501.4877868
ARM,2016,15923997.392830444,164124.72813269266,5005.547104396639,22380628.161289252,31946924.06645744
ASM,2016,653516.6539543278,402.43446682246605,35.35444721239965,674204.701120468,695750.1791665371
ATA,2016,6927898.657031311,25541.49218852636,437.7093313883373,7091023.418464003,7176570.963867237
ATF,2016,27269.603787381606,6.892921081490022,1.50134874045335,27879.127454352943,28245.92886597177
ATG,2016,2020219.5809154913,4411.719518819951,101.7026799057518,2169680.1128875623,2407393.6875338214
AUS,2016,1149336853.2105496,14936619.77506316,302714.5305313758,1670358974.1911407,2487141234.71129
AUT,2016,158904771.09717745,621028.2817726178,27412.366910374974,188582957.27568898,225818989.05229682
AZE,2016,118860238.3325179,1447028.6564690478,16588.819168290094,166660124.1189922,248823388.89913762
BDI,2016,11635957.265920728,314436.3401952489,9386.35570204551,23388988.620971337,40555686.96589915
BEL,2016,228579730.81016767,742220.6044979641,65249.03310103995,274956795.95339984,321496714.602567
BEN,2016,12302567.258324575,367416.7275953753,12353.949352270181,27027350.98352905,48036555.28709779
BES,2016,6144174.40399139,432.8013328348177,54.09950694129335,6171079.574768456,6194192.93017771
BFA,2016,15769857.01620709,1349081.3065465228,54694.06951784332,69660389.29602842,143318952.38144907
BGD,2016,264577319.43828395,10871399.85259834,183492.2896699684,622697605.1474593,1218961343.588014
BGR,2016,109768026.5181417,650522.6303995277,29344.721127826786,139352395.13490418,178752845.0973903
BHR,2016,82772476.226366,1844177.28624076,1461.1501940116427,137565719.68781272,238784434.63585216
BHS,2016,10047638.799918013,22420.23413396977,481.773670913087,10791914.579280518,11992756.783009944
BIH,2016,62655919.865990624,800702.5310276782,7971.944365948191,88149355.1240344,131095361.83406565
BLM,2016,79207.79038242347,885.7834169224055,105.11616323534109,132008.80360818005,179482.98992829904
BLR,2016,228836554.6161111,1183333.0029133484,204450.27457775452,317261416.6765277,380770609.78978336
BLZ,2016,3818991.221654454,50457.22977310744,723.7633435306508,5421752.722546246,8112418.335496712
BMU,2016,2369649.656807046,2465.9990870358947,60.36224030753733,2453539.9963535834,2585616.154987941
BOL,2016,104829669.47351642,2538373.5207107044,52621.32960099944,190045997.12962958,325505026.18513125
BRA,2016,1841682684.6234746,37132317.523441404,1039285.7160246266,3184608318.4877524,5205060178.247653
BRB,2016,4460420.87043938,13586.854671614923,306.76845549260054,4915631.750013724,5643126.703515883
BRN,2016,22781973.65962451,383430.87760209426,794.9670329188097,34132011.02866099,54995214.33758272
BTN,2016,5681825.25490884,77899.4501608829,1273.7381217890115,8239923.179188374,12382444.194379313
BVT,2016,0.0,0.0,0.0,0.0,0.0
BWA,2016,35019820.78191596,253015.42717642232,5269.18495580537,44033863.205386,58173437.06931636
CAF,2016,4985215.063995348,430533.82495040336,17845.671679393185,22407585.803325724,46080621.8871956
CAN,2016,1672335188.2656262,8163019.286613493,261758.84148678268,2012257515.1836462,2477202292.9573917
CCK,2016,16484.809891493365,10.744492724540837,0.34560456700567316,16872.26056568104,17447.870997732258
CHE,2016,85177765.2494712,408314.65902639565,16236.066510519579,104679127.71216899,130039026.7813523
CHL,2016,218178468.00187397,1368135.8606415868,48194.55349684855,282241430.3861039,366759931.3289721
CHN,2016,23778345921.2759,133232002.09086716,3111156.1223139684,29132582527.79948,36577863427.132774
CIV,2016,49306315.13221903,867358.2326593136,17935.72143766202,81320520.46391964,131386113.77963322
CMR,2016,46603912.99198426,1694023.2572633044,35890.35731169798,108161249.26951154,203648732.58224306
COD,2016,47640302.59577415,1561699.545170173,21910.48380393351,100687591.86303549,187779005.87165818
COG,2016,27639568.884559765,962006.6556815562,3451.256689182148,55931120.24947592,107803838.14526507
COK,2016,408909.63525520713,1325.6825699600574,34.90988103024332,455209.7572136218,525960.0127671801
COL,2016,211656034.3698665,6027939.0351769915,117585.48703847782,421501110.7011316,756668310.6043553
COM,2016,1266870.6235265508,27306.642174027253,290.7363366082451,2099047.9762680917,3559623.7268638527
CPV,2016,3000233.4161712583,9808.831682991893,471.65226702365936,3402479.5303975265,3925765.0997916646
CRI,2016,19029189.29831676,430251.3709642981,8778.89825936713,33977058.176844485,57807273.103474036
CUB,2016,80886938.70442593,979430.2666689954,28263.41369869974,116472108.38488525,169844540.04208583
CUW,2016,5191900.470352261,1225.2689338133812,141.9027311686824,5299315.020606628,5351153.422259485
CXR,2016,42614.99542379575,46.17744779241719,0.8595693913084201,44108.376370053506,46582.55575240817
CYM,2016,2510865.847929291,1787.6613142677272,66.01202244568101,2577824.3081445517,2673545.685370625
CYP,2016,15785410.483319389,62106.98931110565,1863.9475289980876,18721587.236530762,22907123.59535594
CZE,2016,230815128.32442302,962560.8104312246,47210.7434454766,278773400.8715574,339881520.2499995
DEU,2016,1731009564.1234057,5236029.072752296,279527.0595712996,1992260552.4430838,2300317846.050658
DJI,2016,3237427.1741032186,75013.32101734952,1664.564047303357,5764686.645313625,9772368.629039252
DMA,2016,741339.682480883,3894.7229643956052,60.177384557765244,864103.7135786783,1072712.7946574516
DNK,2016,94680589.70384133,915222.4256021677,37222.94456743809,131665925.43380672,181664642.09511763
DOM,2016,54147949.35901673,779363.3538153929,19235.326879094857,83287544.64882374,127973928.32931095
DZA,2016,455577477.1381533,6012891.566892638,61627.1467774029,644652391.1309077,968501325.9872414
ECU,2016,94562936.84038757,1805726.4568693996,29632.51388225826,153705092.7256229,251550045.3749261
EGY,2016,549740874.3210765,4103007.8908233936,170524.08669606314,733541390.3145725,974000876.862174
ERI,2016,7119892.612707971,277358.1573810037,7855.963268769693,16951606.83443148,31759492.229221195
ESH,2016,2663344.1719609154,10972.143831896627,222.8594418471424,3022880.518903416,3610904.2036362346
ESP,2016,598376102.2960857,3239617.361725385,170425.95526583111,756937661.9951737,948104803.0751116
EST,2016,58939542.98194478,161029.53647124986,12878.120881094737,67488560.19209927,76578842.7012553
ETH,2016,87876884.39613165,6739110.120518006,246438.5494973076,343679629.210311,702863508.7947532
FIN,2016,172116704.14773068,618140.973284879,49471.62659893168,205563483.4232828,241089139.99199656
FJI,2016,6255496.789599832,56122.82647570673,870.7039812200499,8321263.550457419,11654913.789778529
FLK,2016,11515600.208974356,103.54468818522987,7901.097971636457,13675453.246045982,13680963.007305821
