country,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
ABW,2017,2532628.1684759967,1757.951675721369,89.88305348289164,2605532.7685641306,2699611.7510004533
AFG,2017,44409928.60138191,1379718.6482893992,29006.831614897743,91468093.01781642,166832314.84045878
AGO,2017,120009413.69944417,2863321.3619992724,30884.327000820744,209220196.201875,362944541.7352049
AIA,2017,402626.8341396286,289.2299876449052,5.839095510285443,412120.80144097947,427612.67278371024
ALA,2017,706791.9186439386,377.5340674973202,41.13083018751649,728989.1651959913,748982.496587078
ALB,2017,20255101.722873736,328616.1328403505,8568.325467238861,32035584.817389756,50003685.67536265
AND,2017,476487.33406404086,5290.983574772967,49.59902152192131,637697.3568180543,919707.414206711
ARE,2017,625362365.4211738,3178224.219805829,15194.32964747844,752228511.5553534,957309553.8521019
ARG,2017,659590530.7223963,9632109.293096814,289686.18549870927,1031055199.4014479,1570732476.9459019
ARM,2017,16507251.513697667,154177.96896453487,4823.2275211085,22680968.037726913,31765798.889965057
ASM,2017,705418.6944469673,385.5913626653046,37.023765945449405,726107.6193774688,746749.4662741872
ATA,2017,8276926.2839313885,28397.332309418867,518.0534405037415,8468752.78929623,8567530.665912457
ATF,2017,15405.542345734468,4.904260559670861,0.8236120762990583,15770.393209025215,16031.792639186751
ATG,2017,2121771.9036327917,4383.498653453435,106.59411515432373,2271827.523293222,2508022.4657976176
AUS,2017,1174423897.3191981,15453526.895659888,313671.1134516873,1713093026.4967601,2557163374.5593905
AUT,2017,157089064.51567736,626916.8225754863,26944.725710020768,186923971.30714414,224597045.5595428
AZE,2017,121202465.08648032,1438542.2621311445,18782.773479493444,169644861.60771713,251707843.20998865
BDI,2017,12736385.799987655,327993.0388671776,10252.858251649157,25149141.52763348,43089101.094938904
BEL,2017,230153450.1587744,726318.5240935639,65393.629932824355,275784822.8805875,321318578.43093675
BEN,2017,13784375.864884596,388520.04524605983,12915.96115293925,29389627.066664346,51697036.867492385
BES,2017,6373783.711367068,447.7127511781558,58.237710363396786,6402255.540696625,6426161.336579734
BFA,2017,17194884.431097806,1381761.0424637662,56256.73734891215,72598359.90445478,148206176.41232842
BGD,2017,277870412.65332174,10785629.994028645,186097.4030839442,634629424.8703454,1226487919.76374
BGR,2017,109753075.37294091,631013.6863889282,31141.79389655825,140220153.4570873,179582405.9862445
BHR,2017,86726737.10783343,1821118.523806337,1537.7300729865917,141240641.6735238,241593051.98692793
BHS,2017,11011878.950971993,22772.290813882028,523.1651335261608,11777275.060403738,12996920.334316418
BIH,2017,62717988.393158756,813489.1797850158,8257.721092760494,88743228.02429903,132343538.65098386
BLM,2017,79709.33446341378,898.0832359185727,106.85302520787887,133319.26337806974,181452.65170240987
BLR,2017,234076638.402772,1185950.6789206343,203580.01561098106,322338592.39219105,385986698.92595
BLZ,2017,3962855.755026948,51166.99285024996,744.7376834736953,5591143.045087393,8319641.443403235
BMU,2017,2460940.5727971313,2456.686007772025,63.50679855712219,2545448.6507956036,2677024.8412573077
BOL,2017,107742093.860013,2544530.174159335,53767.98058438717,193431334.68465686,329233963.0277356
BRA,2017,1861080246.6716487,37529029.412500106,1067621.144059466,3224384069.78625,5268074327.521033
BRB,2017,4622120.576098753,13767.38638072874,307.6991753111974,5082595.13042266,5819725.71241014
BRN,2017,23305377.140428197,403085.4775800494,808.0326257328489,35242635.87369798,57197612.47855306
BTN,2017,6200721.216045995,79779.92929031307,1296.6382408780657,8818074.656657463,13060684.94329257
BVT,2017,0.0,0.0,0.0,0.0,0.0
BWA,2017,37266628.85991044,248618.22365138668,4684.916188678693,46067289.83002139,60050398.89478374
CAF,2017,5080689.10068593,431932.28906423313,17847.46411681779,22615665.843629833,46449096.478435785
CAN,2017,1737535830.6040542,8325576.33193819,267600.12441908446,2084719545.9304643,2559193846.811853
CCK,2017,16498.277285982258,10.79508119015208,0.3417651794501046,16886.066897077995,17464.385034308485
CHE,2017,83472893.10844262,410742.8540395051,16493.05781446144,103081289.84055506,128622201.11677608
CHL,2017,219702573.36598933,1398623.8508849333,49139.294453246584,286820179.9712869,374539156.3835506
CHN,2017,24568692131.736366,133972376.89302345,3018794.059121493,29963725691.99651,37483142080.5223
CIV,2017,50260571.579462886,880180.1235472352,18634.31716369872,83218839.34997398,134421341.71897703
CMR,2017,47678102.13426299,1638407.4299936115,35977.07799496455,108268630.7303287,201421917.3278151
COD,2017,50029856.66050356,1601240.1793708215,21775.240865877793,104538676.82831106,194215123.50172034
COG,2017,29473139.423925117,1119674.1096371007,3421.431235682862,62218652.67951378,122567153.15310828
COK,2017,427642.3121674518,1320.0239506388318,35.28175138372034,473891.49480301834,544336.9835163376
COL,2017,209192284.2325901,6235113.097511906,123711.60388637145,427942008.1508319,775732409.4363084
COM,2017,1484034.1976618106,27811.07807723105,301.2180044670792,2333062.662656654,3820584.398904592
CPV,2017,3110843.0650982237,9485.6576916848,423.2896928098523,3490739.379832146,3996857.0267391824
CRI,2017,19311287.244410988,442351.1580298845,8735.066721120207,34670447.4206127,59246500.2299738
CUB,2017,80144971.68451466,963666.7805481349,27916.176858941366,115302413.74192521,167953886.45082766
CUW,2017,4006934.600929734,1092.4584692341568,120.41574787438408,4086315.0424226667,4138329.4864214724
CXR,2017,43626.069806598374,46.399795261286535,0.8729938508473485,45129.21964976974,47615.29741358052
CYM,2017,2571371.7601329433,1828.4535277815164,68.78796802482161,2640213.0323626827,2738115.4269253733
CYP,2017,16526453.10835497,75232.0258014083,1951.4637712682133,19875074.008283272,24797830.46288496
CZE,2017,229007995.4656836,1001462.2543437982,45136.52542737827,277714282.6094006,341368604.83782
DEU,2017,1695286740.2402165,5243241.193727818,274379.2760707072,1954574035.466084,2261244534.6817656
DJI,2017,3216745.9869065746,75758.91077487354,1661.0088649879847,5763719.093694528,9811237.357545633
DMA,2017,719286.58439489,3885.158515847732,60.04399507457632,841751.7080664295,1049847.9136084488
DNK,2017,92707826.1376138,904069.3866773185,36531.37372834975,129160739.6086987,178577110.10718557
DOM,2017,55225847.49525919,795016.1919715351,19432.59393826548,85160556.22822647,131050650.34078118
DZA,2017,465237749.1804968,6020950.45155453,61738.47150679303,654973717.9522389,979690259.5558262
ECU,2017,97246721.02627002,1792475.8500011666,29928.955087818067,156258598.5314424,253558605.69740626
EGY,2017,550787903.9571937,4258795.252081337,169935.4844801754,741380344.9709654,992824656.1387229
ERI,2017,7025275.073251003,279373.0007187657,7904.941639125979,16926726.75573754,31842025.084973328
ESH,2017,2604936.0834684884,10995.408744279675,229.03399080144402,2966791.96928895,3556062.8708229554
ESP,2017,609487243.8321536,3283062.569365098,173966.62393073703,766471700.2408717,956333775.0869471
EST,2017,61888165.94764003,171035.675369311,12868.380896081591,70707282.1739306,80324156.39967015
ETH,2017,92509639.34961714,6888569.144321152,260154.52225986155,356359153.9089562,723456598.927553
FIN,2017,173556500.2429029,543511.9305663079,49829.87093589859,204956694.8813666,236359528.09089833
FJI,2017,6735070.7719832435,55956.76372459986,897.6851461023962,8839489.677733729,12204835.01163369
FLK,2017,11572497.334393814,108.82191518328344,7903.843846418119,13733244.430981658,13739030.441617798
FRA,2017,852630219.2474273,5158154.07360868,283753.71370723,1122542627.184854,1438806734.7483504
FRO,2017,1906754.4039357717,3419.1651552314115,451.0203172892932,2123904.0441677924,2306754.9479554673
FSM,2017,1157307.288862257,2198.383529725228,85.44315138380993,1241432.3678885675,1358866.1539558438
GAB,2017,23521264.381739575,838368.8539831362,2860.8029263188664,49377603.43497424,96036317.26144363
GBR,2017,858804333.2238407,4056235.468515239,234656.9001137256,1067557930.4276977,1318115416.3277192
GEO,2017,35456172.23735871,264755.7592763185,10103.136058723741,46244907.24900684,61305950.59851467
GGY,2017,297256.0593519402,201.2050639074712,36.83278004929757,312826.8014150613,323602.7003567514
GHA,2017,58441073.51317125,1088682.6226384544,23475.46579015646,98204747.17467251,160075685.22365215
GIB,2017,6666970.921974849,2012.0357237977905,375.94764925502994,6827101.989219233,6934344.098396011
GIN,2017,37506503.383179806,1565504.2293975442,28813.70150108206,89812114.69098458,174966112.48251778
GLP,2017,7393714.842581804,7407.977521269738,251.03183293493305,7665190.551150401,8061724.656285242
GMB,2017,4080371.632764733,92164.87878063065,2063.6183235331173,7199470.4428223185,12120228.696501639
GNB,2017,3141539.6347369044,154228.54777172426,3894.431995973357,8505847.574005863,16732890.553260906
GNQ,2017,24577171.663974848,585988.335761558,394.95639599593727,41464073.97157654,73086501.41753282
GRC,2017,193213552.58122858,891355.9257858883,35320.105037834815,241760422.50055003,303924081.5285102
GRD,2017,1241759.8443048284,3398.920947061594,67.854066136467,1359557.8995780193,1539840.094220124
GRL,2017,1721709.1818381879,4245.595213778658,51.706650619793805,1851464.8589437327,2078934.4557487336
GTM,2017,46186964.648440205,1178312.2057666169,27699.38116832341,86981764.4807157,150547746.58687687
GUF,2017,1764304.4029174559,5190.903282119467,132.82262415977326,1944544.7715156244,2221801.8986039604
GUM,2017,4694441.724206926,1367.9139279611652,157.01840019151874,4774471.677142485,4847083.1065775035
GUY,2017,12167698.978490569,199354.2888183384,2884.032807417926,18421793.61148362,29088345.29643764
HKG,2017,130981005.648317,312096.9793544166,7810.418832738008,142029843.20999837,158640315.9825272
HMD,2017,0.0,0.0,0.0,0.0,0.0
HND,2017,28959831.022729613,624894.4998897082,17305.04346801601,52026383.704364,86725076.16126738
HRV,2017,43983498.83267011,300722.8295670716,17515.289488003877,58377377.552256525,75599702.10171224
HTI,2017,11176188.642172592,424052.99804833264,9289.373922738654,25521734.566027895,48136682.0978891
HUN,2017,133064848.52763177,570957.5751646055,53252.51521607676,168705207.61557448,203984217.2751312
IDN,2017,1872106072.925396,23878808.63568131,482166.8875261426,2698129444.8233423,4007038441.9096417
IMN,2017,1625784.8130438305,300.45640629070266,74.57564177651317,1654346.778170281,1670440.5111756711
IND,2017,4966705986.702463,51608157.559045225,1621774.7860826112,6966950831.047994,9829672983.00896
IOT,2017,323774.68779987085,34.62073386950799,11.500668293919924,327926.53903030034,329766.0039250456
IRL,2017,110256076.0583692,1322194.8841600225,51946.208900893565,163443355.57094008,236664641.94886208
IRN,2017,1695693457.3104467,17422487.89169452,167450.61802963619,2256695285.414292,3208393788.280914
IRQ,2017,457006660.26632285,10765216.600888913,41014.838300399955,774268561.3729466,1355320694.376208
ISL,2017,15069700.263812056,44530.294155962714,2339.09140727522,18608851.35710834,21295928.07220217
ISR,2017,136115778.1558937,712988.0253903785,17850.182566308085,171306990.13843828,225061741.67330974
ITA,2017,744306040.0439475,3536258.126087441,135896.78924831277,918315351.4987898,1141626587.4946318
JAM,2017,23938972.570994142,64264.03590161669,2407.403265189545,26686145.79061985,30648947.87828733
JEY,2017,352832.52740521875,324.6978722298867,57.43553888514444,377371.25549676124,394765.69740819815
JOR,2017,56638048.76857846,348805.85273558163,9866.587343075867,73442988.3533188,97694431.25512357
JPN,2017,2856394878.3529787,3193462.999400632,152217.9462712399,3035708090.2653036,3255302885.532245
KAZ,2017,511093594.54942614,5261649.608196708,56321.79279742865,677218757.4834963,959837541.3417488
KEN,2017,72854581.06728251,2847919.447146348,89101.05533591063,176678725.04509664,329083472.20762575
KGZ,2017,38595945.35361594,581528.3918812484,10737.204372495036,57613947.63963074,88678265.10269731
KHM,2017,53462711.52689277,1493003.7356156723,30355.113542733634,104903632.4755108,187582714.34732994
KIR,2017,734188.5065562883,2107.484838356224,65.30537821013785,809828.7762474739,922594.1445044974
KNA,2017,1311338.1070983938,2418.4603930433404,60.48461688018907,1394228.9265288685,1524050.0099827826
KOR,2017,1466924058.2168117,2111052.524940786,99705.69459539751,1591868685.2605534,1738481764.2220628
KWT,2017,263386397.47215816,2474529.8569306377,6729.5744491199075,358289718.49993783,517771083.9555952
LAO,2017,68830808.03157128,554390.0977811618,18137.36537174199,89248797.34227155,118834112.64465268
LBN,2017,62056278.09039245,270536.1215283026,8559.58370735337,75772928.3527742,95099927.40864237
LBR,2017,6246447.182923973,235215.90829656043,2859.7504360542143,13667932.623317698,26215291.77490054
XKX,2017,20157026.91084754,120234.77978619185,796.1425654299813,23737920.849705804,30144155.080069415
LBY,2017,156910962.73237273,1764516.603333296,12013.677938439725,216966453.57977644,318508971.44793206
LCA,2017,1956050.4999115588,3778.166198080064,118.97353280125596,2235318.9545876095,2681972.693310576
LIE,2017,280413.35884727805,244.44386821195891,25.972727642438866,294484.97979405575,307471.7189116674
LKA,2017,62342681.73473858,782552.3494808538,14186.190379645483,88565361.01306646,131489534.06758508
LSO,2017,8344391.847111637,112450.65729196765,3895.64011690827,12570459.573649883,18558256.676542036
LTU,2017,54220398.999137014,207501.69739160207,44407.6870771951,73778720.17964345,86616583.05955097
LUX,2017,13932625.26758785,42748.984046844,1694.1651910077699,15735012.762074549,18232308.865948804
LVA,2017,37254337.176963106,210245.4995866762,16795.249811692593,48667291.458847985,61052264.37213407
MAC,2017,5146835.470547243,3628.4136067450368,469.3366990668122,5376569.410195315,5570049.1316923825
MAF,2017,781625.4771628358,106.2624834753203,13.379594585815068,788193.9506416138,793880.2621504699
MAR,2017,133701978.24692005,1870774.7939503305,57336.774200289874,203352877.01190448,306874006.26250887
MCO,2017,849360.5540347322,144.88398326047133,55.887612686447135,868830.085321468,876518.2467639003
MDA,2017,29745415.76199379,211770.22319236994,8128.877795849498,38340301.101925716,50367123.43621915
MDG,2017,35367026.67283801,1549242.5626779436,35983.94282571253,89468122.86963183,173836660.98396072
MDV,2017,4692921.735506868,9275.88761990587,287.67849420097673,5024927.407845577,5521694.879456609
MEX,2017,1225813063.8760633,16152134.731981423,761408.7782566302,1920631491.59557,2823901213.07697
MHL,2017,1176502.6110818516,252.10230147645086,52.4457315586988,1197801.9836746494,1211280.6829244404
MKD,2017,16298478.562917413,210622.46160130127,4070.870887469099,24636395.77078812,38203185.55569255
MLI,2017,52258989.592738464,2002393.2666746923,76654.19999053645,129470162.38487071,237363406.03088266
MLT,2017,8204167.658614127,12445.162106317657,697.8830261075487,9353043.14505717,10635961.574389843
MMR,2017,178344727.62409636,4336460.803509143,123726.9891104249,334206226.7979574,568359627.1421769
MNE,2017,9196724.83977508,110268.81880054339,892.6003402788646,12506337.4196256,18388738.431432374
MNG,2017,103649994.18012455,2597075.634072251,89134.38764178647,200312631.33314103,338798982.5073124
MNP,2017,1414399.813925034,266.8043051680419,34.03572540849509,1431072.6818993243,1445333.559473153
MOZ,2017,48803516.23547967,1039126.8517054594,16731.860327314538,83206707.6994283,139112098.5048125
MRT,2017,16102152.108113699,685949.3956787077,18736.154606492477,41432630.707449205,79358538.26047419
MSR,2017,147311.2523744667,29.663013801601284,5.255187964174139,149572.07348767619,151155.8072679893
MTQ,2017,6306148.177768314,19416.631775360504,2037.6139852864062,7407001.248612721,8442848.110418908
MUS,2017,14552882.418468593,55398.05795041675,1606.1015814408308,18802986.965746406,25655522.070243064
MWI,2017,21083663.343918752,454158.8582418075,23126.379465269998,40630045.81713795,65571543.95627095
MYS,2017,630148502.9666989,3605164.940635283,68893.97506810611,753323224.6072423,948581435.4714818
MYT,2017,1252088.5307997207,932.4773940065703,77.17683127448194,1298581.0129045902,1348541.0935906644
NAM,2017,25245635.61001584,448057.22915128036,12393.026476302957,41564805.04719632,66004908.26402241
NCL,2017,12261071.915983627,51736.554003855716,346.5577001704512,13797168.372418217,16555641.96133665
NER,2017,28582747.91625283,1694102.0845555372,67726.39052886007,95123810.90469827,186520281.4335124
NFK,2017,45790.3667315055,9.386670408257878,2.1600595909349876,46640.92189894873,47142.55328119353
NGA,2017,340318734.43193936,16759495.300352039,232877.66187037018,893722159.7659411,1809173953.6429985
NIC,2017,15682683.008758597,809604.3115399139,18037.098663640274,43406748.438925646,87074934.61105931
NIU,2017,34940.012805619306,106.16671604090801,2.6477554538464174,38604.0404215051,44268.98102111753
NLD,2017,441901140.37789667,1885253.160408162,78130.80688812402,561021150.8356571,658278817.196603
NOR,2017,251631467.40234616,3382649.8908943576,30897.377076212986,358725580.24044335,540857133.9225409
NPL,2017,45901052.134143956,1458659.2033386994,40134.230098488835,97851430.78767812,175771677.45757818
NRU,2017,105646.21289058322,227.54256153463504,5.498745670363599,113410.81397637627,125576.73840109353
NZL,2017,105696947.68380521,2935133.482538945,56051.22836921373,205814477.3549421,366901073.6144141
OMN,2017,250163360.42199132,2395432.4949072045,7040.449770366538,321316268.30820864,451275312.8610204
PAK,2017,478248699.4969721,15017380.028592566,422247.0193182424,1027506426.0517308,1845746503.9410732
PAN,2017,49778644.12088945,341879.26931608695,9798.777448814217,63243775.71607767,83118193.73588435
PCN,2017,7546.085033969987,0.9444696628336845,0.176098275588993,7621.877410780872,7671.798994142831
PER,2017,157958753.80356666,2593036.897583374,65853.78128744183,249305381.85289642,389597084.04529697
PHL,2017,359047606.3592578,3875769.1643808777,87974.558837845,501795662.9319393,721812779.5405122
PLW,2017,1367154.4097505477,2049.1366182040983,41.108663408481576,1435432.6098596293,1544710.0265797812
PNG,2017,80287256.3910075,381574.45321319863,10786.786252861964,94094421.49547791,114499829.22974676
POL,2017,724745270.741518,4035575.394973112,197604.21727513496,902777678.5481654,1127366914.7697303
PRI,2017,40118264.962715164,124651.00437140411,4291.160986977472,44864384.645686716,51529421.41571601
PRK,2017,144375995.9916404,2101759.3267143564,18371.87895483044,212804658.60585037,331567170.0561112
PRT,2017,163194080.37923473,664934.7708400949,27186.245018227182,196220317.9539468,239625724.21151674
PRY,2017,33326139.046055302,1878247.7653073564,51301.61375789574,100447966.19823301,201863211.47074497
PSE,2017,7429553.88633697,56544.400156554475,2473.890514264118,9662125.713547658,12684777.915070215
PYF,2017,4715103.137865409,5863.565557751793,226.48505366200808,4938119.1852618195,5251743.534530348
QAT,2017,370102110.04037845,5677366.014136885,5111.680503120517,534865545.83068985,843142958.2363889
REU,2017,13032622.559870873,9595.461131679609,631.2003117003954,13473247.177082002,13984709.803723149
ROU,2017,207164601.98526734,1763862.2398291442,84531.46744759328,286711915.7271257,386299129.01168966
RUS,2017,5205946987.106231,54045921.56866817,562547.8669500077,6982607599.033682,9886434575.263487
RWA,2017,15634064.569669237,352016.5933503648,9850.79992073117,28171455.202006567,47071848.2037598
SAU,2017,1523652482.000193,7612061.972252666,51726.471292616705,1837426910.8223095,2337981326.9315233
SDN,2017,88869003.61442775,4451006.390811189,139890.84399438128,253298051.44238898,494375901.96874344
SEN,2017,40061935.78249267,712713.2928841074,25048.616381112606,68569444.85580277,109018171.08961524
SGP,2017,236597579.6939455,145609.60579280247,8920.094356874291,259891336.8425226,280766545.4421787
SGS,2017,638067.349172426,1371.200722981393,40.68136649009514,653425.1366677074,661774.7080512239
SHN,2017,186696.04637200473,122.85611682924687,8.27238670486726,192383.34266384898,198936.02482663727
SJM,2017,311855.5921902463,36408.40756783406,16.37682310300671,1306695.7764499881,3258173.009121793
