country,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
ABW,2023,5071436.209244765,1773.448625973915,81.25312038295661,5142346.471019406,5237269.5784665495
AFG,2023,40990019.48202707,1405079.5781678124,25834.833950780318,88384450.6550963,165718799.58820564
AGO,2023,116118023.78993164,2250165.584938944,33761.79436499944,189347755.58175793,310811085.16031134
AIA,2023,415409.4912273201,283.14888761221096,7.044606110095584,425048.44818781054,440220.8766339573
ALA,2023,1124206.9372164165,412.87676409876497,66.13213133741085,1154188.2756712302,1176074.261623408
ALB,2023,16382695.061338894,303118.4343264742,7884.631294555934,27409428.524088975,44166415.81294611
AND,2023,490302.32671578164,5528.752971828678,56.31519765674165,659981.4287257608,954665.5738216143
ARE,2023,679995871.1543956,3485442.4164180383,16721.18211567414,828582299.5757041,1064281930.8987175
ARG,2023,677082667.4160392,9844312.267225727,300495.8954040308,1066326794.9060173,1627531224.0690472
ARM,2023,22469884.26306015,151941.6119241155,5100.255713921325,28808502.407559544,37953739.42294741
ASM,2023,726198.0402555299,296.2682296230081,37.432477426329065,744540.1447075524,760404.4548348956
ATA,2023,653492.0136293,86.85054984,35.7631040634,665686.0510006334,670313.0689786299
ATF,2023,45558.09549051012,9.75914096436056,2.520589007651736,46531.87631488068,47050.61433006412
ATG,2023,2086876.79066387,4268.583030680284,101.45664669978773,2232289.609412321,2462372.6855190075
AUS,2023,1120359983.5856028,16036662.14200174,326140.6023363205,1683605160.8814836,2562653390.3879943
AUT,2023,144152098.53755638,618545.6261006887,26344.468454409987,173576231.00150546,210630091.52866772
AZE,2023,140587234.78932416,1677987.0717232237,19634.97072207551,196788926.55385852,292691174.4256149
BDI,2023,15983137.36784432,324801.37250535697,10309.364761483575,28491428.90492592,46442115.91905308
BEL,2023,214568624.7971496,711520.0516028889,64006.65433872231,257885293.9732441,301660109.9922897
BEN,2023,17555104.59721586,386534.83218144864,14220.795069084763,34016647.368670635,56820441.13157496
BES,2023,2500566.2414558204,478.11830752437186,51.32224370295834,2527889.439571187,2553447.378800035
BFA,2023,22743486.195471205,1458473.3325772241,58017.71061325336,81435870.57211778,161865985.94524634
BGD,2023,320518847.9567908,10186568.85721569,206177.52944517182,664733749.836127,1215193038.116308
BGR,2023,105108019.19021997,615774.8624226003,32171.29825691012,135624762.8178229,173411755.43793455
BHR,2023,100493003.08513877,1956169.9560701197,1775.1769371163452,160001075.71242738,268885895.5751605
BHS,2023,13820658.216773344,24270.9497907458,672.8375203918027,14667877.417463278,15967822.5881766
BIH,2023,58496386.97227519,781504.6354529214,7171.401321589943,83492572.22871852,125341850.79430407
BLM,2023,311849.15473818936,992.7556115936142,129.52049529091477,374220.6782179719,427428.6845102728
BLR,2023,224603278.31435618,1179305.9394735857,206873.65612739464,313585329.8825743,376878491.7068514
BLZ,2023,4232770.853190648,53648.83706821864,766.4014485687446,5936376.265956569,8797094.092578735
BMU,2023,2430769.9494512347,2431.6969794314487,61.00229799085854,2513933.1590797403,2644172.2125606504
BOL,2023,110276613.84269346,2878286.408139042,57281.54932154141,205960487.2608961,359697592.4900826
BRA,2023,1982566505.2311487,37302690.353563964,1179773.3811547614,3374227621.2308455,5407031531.668702
BRB,2023,4955808.174769556,13852.120101545974,303.4497505807063,5417282.137301724,6159021.546463515
BRN,2023,29779291.746383462,336164.0886304888,1042.5097665509415,40045352.57248298,58590529.75229258
BTN,2023,6501321.64545834,80638.57916609058,1376.809238924825,9171208.102084696,13457206.399624707
BVT,2023,0.0,0.0,0.0,0.0,0.0
BWA,2023,36223479.88247839,239688.33114103554,4146.090309082995,44871469.822868586,58662075.24606767
CAF,2023,6007123.473240121,455880.5499807492,18920.1811191176,24769055.09817911,50188624.771766074
CAN,2023,1807523632.646825,7992845.559152924,268898.99445317127,2146600499.3859627,2607289448.1048093
CCK,2023,37192.335271692835,11.607685294460222,0.9737266831467614,37775.54178974906,38397.124566319646
CHE,2023,74801879.11975604,427126.9226928117,17152.719022063713,94704743.62554087,120996303.0499824
CHL,2023,234221168.1512003,1492258.1781312942,51801.554663614515,311231495.30547553,409283109.25675845
CHN,2023,28439822168.168427,158812311.48331517,3043663.05456988,34696511272.780624,43660984014.41168
CIV,2023,60172903.96756644,692962.0611965564,20583.9942864839,90023942.54022895,132819980.82990424
CMR,2023,55300180.98744394,1623637.661764258,38578.07825074647,118228994.99299932,212860237.4261056
COD,2023,64756104.449948564,1733683.594566754,23564.789282843587,124816373.55648299,223298900.8895552
COG,2023,31450436.381870095,1094366.8700976914,3522.0930849868296,63739459.904678345,123001762.0050796
COK,2023,429731.42300757824,1178.3241041709407,33.43300034671167,471528.23299211334,534422.5621833173
COL,2023,238287124.30031887,6479106.324167457,140571.10313998553,473584602.8994552,840136794.4779468
COM,2023,1601685.814040574,28722.47650577479,310.48286765504184,2479646.957719424,4015467.587704629
CPV,2023,3557932.4798212587,10608.794363254987,467.5985780769433,3980944.391696783,4547075.022022873
CRI,2023,25141246.327121127,440335.4663228877,8281.681955253385,40628646.63373568,65462303.21969444
CUB,2023,73456935.11308052,884297.9364583842,25590.611712216712,106199469.64005333,155030824.5195807
CUW,2023,4920445.910177216,996.7119686991119,108.41099165383449,4977645.52260714,5030948.672432884
CXR,2023,71377.09736093525,51.37900684811305,2.3045922965763124,73409.05107651892,76160.91482093492
CYM,2023,2444278.9223226877,1965.1939489843403,58.95521305663186,2514018.088503572,2619290.6899016877
CYP,2023,15916536.727171239,132304.40120198572,1991.1636806437095,20933940.784107022,29040153.368522238
CZE,2023,195089699.3770136,874458.73831178,43474.30285979672,240085514.46295357,298297842.18526286
DEU,2023,1382030489.4346027,4539681.458261282,256370.23672778666,1607843375.3251047,1871375413.0157804
DJI,2023,3794600.6048821886,82400.75804332168,1702.0455430183679,6534760.179854012,10937812.693701416
DMA,2023,867355.9099065604,3942.3239628405227,64.13132738240182,992468.1369865094,1203639.5009590758
DNK,2023,82214253.83020854,816418.5408960794,36089.73224941492,115727480.99183823,160173540.36070374
DOM,2023,63956267.72338657,796279.2680143515,19752.101733419866,95151674.93383655,142426251.37097004
DZA,2023,526508950.83374226,6235628.572718096,62642.610897845785,724056678.8054461,1061770850.1096284
ECU,2023,98779141.49462362,1545606.154602177,31768.685665659483,152036493.6558228,236735366.4640033
EGY,2023,602555219.5058122,4014811.034871467,171377.87906836008,795903980.5530789,1044106257.4692553
ERI,2023,9800612.90157564,285620.94363115705,7994.8646263340015,19900065.153891623,35148951.24661603
ESH,2023,3319136.5866705575,11356.854464821565,279.81234293007634,3704751.633246091,4313369.866548757
ESP,2023,556131866.430789,3320851.5961021506,166689.4995917665,702330390.3228076,888454879.6995882
EST,2023,40365839.804128654,93976.49739213742,12947.489871203996,47025505.29855144,52499623.9711973
ETH,2023,108125983.21615411,7775499.141620775,304753.20310104697,409126389.8849937,823426490.3217807
FIN,2023,159526433.04864863,402448.62620633363,47119.24712002674,186031367.4679126,209563382.3604699
FJI,2023,6957743.081316438,58647.53999058452,922.0736151599145,9270608.404649166,12927054.65021403
FLK,2023,11659230.064727005,118.24595559286472,7906.6584788590035,13821031.708983269,13827343.48359227
FRA,2023,827700552.695285,4767679.733076888,264608.86700857175,1059862724.0899467,1344979780.160281
FRO,2023,2287923.366886961,3457.6454466097925,464.14324316819216,2509745.9366183393,2694645.8695630417
FSM,2023,844528.3206654678,2269.7715625333108,72.5237611608014,927050.733012908,1048312.1623661031
GAB,2023,27681786.245406047,776238.4324893734,2973.0454761714136,52502624.20626655,96626598.98258226
GBR,2023,762110767.1475981,3731172.4282292756,224467.88885414597,955676745.4098045,1185680423.6704342
GEO,2023,37426347.290886804,261426.49847227093,11444.83650302513,48678760.89458489,63769220.12136282
GGY,2023,795815.9092078971,222.15678971268392,51.78110157812815,816032.2184920873,827926.1693685758
GHA,2023,81803876.48501745,1147200.2888706422,26481.264281243177,125339352.8271301,191784153.2463287
GIB,2023,8673793.196157373,2427.7186430659967,494.93022330404034,8878668.26510109,9007985.325212123
GIN,2023,44239200.270576894,1271743.0089033218,34068.392508232326,90577670.59191637,160531790.11471823
GLP,2023,7147148.856861079,7325.013583018688,258.73112366681505,7418236.228693938,7810404.068353731
GMB,2023,5224205.039329841,71175.51068878891,2101.777939255964,7784891.95849189,11579800.415842196
GNB,2023,4201235.5885530235,137759.69727249612,4121.88253789851,9186572.267479103,16528377.774469627
GNQ,2023,18551469.694719326,400712.56197390077,412.52039097030007,30379968.29032251,52300577.98767603
GRC,2023,175139985.91229284,691233.602061568,30944.303198064164,214586038.2426876,263257008.1250851
GRD,2023,1393560.3213734499,3541.387448722324,76.36050385050818,1518092.8255163757,1705869.9048828806
GRL,2023,2004282.9970879813,4304.468127023542,77.59119909714916,2142685.895151053,2373350.7984122997
GTM,2023,53847379.2029016,1270021.7439788645,29381.731157831426,97819857.57930447,166501622.75137514
GUF,2023,1931433.6464697712,5643.386022888187,157.955585260388,2131020.5107481154,2432469.759422319
GUM,2023,4398155.877479401,17102.63256070897,154.61563100434645,4916777.411055611,5828708.0229880065
GUY,2023,24720191.93897839,464966.1026183688,2901.101927002902,38457083.97611606,63251906.88171411
HKG,2023,104960941.5931477,659333.5379653089,6967.223022621234,125504699.92288548,160613796.7050703
HMD,2023,0.0,0.0,0.0,0.0,0.0
HND,2023,36246483.565427125,664742.7748104396,17949.93722688888,61028597.55992177,98369898.58807997
HRV,2023,47756159.16962111,247620.83109184375,16761.644649344253,60516250.98648518,74943166.52655834
HTI,2023,11017843.207333168,438741.2803743931,9311.109873181304,25771663.877829663,49172027.67217533
HUN,2023,119064055.56158213,596832.3847240395,55649.51907207555,156458773.37476775,194147774.1695653
IDN,2023,2033253537.7857718,27213658.673839714,488952.7813399831,2959450101.231218,4446489227.849672
IMN,2023,1691017.7705118174,315.46944487467476,80.22426764679719,1721543.423165572,1738436.676705627
IND,2023,5668098794.068972,58784511.270699434,1813972.050403776,7943490113.029582,11201023095.159187
IOT,2023,245451.4592059302,24.470885528628887,7.371242890278426,248171.9454352363,249474.13491318972
IRL,2023,105025395.13191727,1274492.572397734,50069.39290789423,155425542.76111716,225335370.2351748
IRN,2023,1900160712.0420673,19369192.097528987,178822.5706020669,2528007873.6890545,3592713717.1972804
IRQ,2023,573613605.5357723,10827911.628182894,42692.62146008843,895405713.9612821,1482630600.844158
ISL,2023,15901654.264681868,39249.52068361292,2365.102958239719,18362018.191397138,20756468.12376302
ISR,2023,143022403.12095803,1030953.8652118198,18927.420894486688,189773382.1431574,264171912.9124172
ITA,2023,708586681.1765233,2958064.923972477,133173.84166458508,867710447.5656735,1063278111.2940118
JAM,2023,19657229.83334988,64165.95744041417,2407.9150070237847,22468660.344638687,26535890.527873877
JEY,2023,799304.8972572291,338.0415842306019,67.63527740740608,826998.1348443534,845104.8595373427
JOR,2023,49190719.66694865,405146.3851935347,10484.344324916028,69542919.12410498,98947298.2068022
JPN,2023,2499225765.1797404,3684131.8207384036,148463.58367772342,2693056119.9196234,2941227537.167681
KAZ,2023,594161566.6181856,5164312.919492303,64958.924293811266,759976767.7097247,1037388221.0884551
KEN,2023,86532724.65453595,3452155.3832284836,116237.20838376382,214737130.9309131,399425581.03291506
KGZ,2023,40049612.69379717,615294.4733172184,12276.267764076229,60414486.78720373,93285723.3749447
KHM,2023,65396657.357501864,1738120.8799723026,31051.08269554023,123467449.20429693,217507154.30829436
KIR,2023,1062511.5927557189,2366.237578033405,83.72431444045807,1150207.600006644,1276840.1416850276
KNA,2023,1151991.2266153744,2497.0071763329734,52.36363998178572,1234706.124888269,1368762.321016831
KOR,2023,1396595642.0057743,2014249.0246516196,102352.00058032476,1527239448.4911048,1671718851.8315663
KWT,2023,299796585.09842896,2714259.0402433276,7505.083903660166,411045528.19470435,594042442.4434208
LAO,2023,100394605.76158164,784346.2605438731,19479.214238083812,127574845.61553131,169396081.2683114
LBN,2023,46788482.90692075,300111.04529050004,7632.143751786008,62687747.19033035,85491851.06077662
LBR,2023,7950965.603489596,204255.95251161692,3153.0493772684795,14645540.078010716,25521262.293515377
XKX,2023,19952540.119051263,124772.42482683575,735.8822587529204,23648130.397334613,30294728.25653183
LBY,2023,175918785.85426417,2300338.557658342,12253.044360428146,253699834.7214938,386830862.9841227
LCA,2023,2072996.3651345028,3802.548107881444,112.87027974249303,2381679.8145813276,2881687.649768333
LIE,2023,254791.6608616505,250.68315062018422,25.837603200490424,268999.07193230564,282319.3472455187
LKA,2023,61950687.45020674,944444.6268131203,13825.594811371497,92804659.32170305,144564613.3686296
LSO,2023,9418373.897840481,101769.32075302862,3030.8375331676316,13110411.823115785,18529083.69396377
LTU,2023,56596657.38363831,175524.94483192597,40121.01181810245,73752986.91929029,84693374.77204695
LUX,2023,11934859.457055504,40834.506547607445,1610.736707327247,13656052.947589904,16045166.701933479
