country,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
ABW,2021,4722721.651710409,1795.6683027266272,87.4429312007911,4795994.129626784,4892091.2402080735
AFG,2021,39764980.67488954,1392268.861658338,25609.843388429086,86747180.02619098,163395816.48875123
AGO,2021,112859198.50510556,2304040.5483839866,33530.2153411545,187531036.0643684,311864195.3702859
AIA,2021,360976.00191254023,286.8597985462053,4.974278307785478,370163.21331118187,385529.87421370135
ALA,2021,1114046.9216353945,400.4704303767984,68.71820506265887,1144367.8350641152,1165598.8950440702
ALB,2021,16721918.781346165,298578.47195592656,7961.363761847978,27644857.92559721,44159021.23768999
AND,2021,487471.00892136764,5456.438989039827,55.23498826609488,654838.4937518892,945667.5059560825
ARE,2021,655793228.2035959,3357643.3458409742,15757.076267067569,800551032.4079098,1029437208.1586255
ARG,2021,673027205.6041263,9806103.77268451,308813.0604907264,1063422521.949583,1622744931.9755976
ARM,2021,22389191.897590958,150132.3838508262,4954.1100252297465,28639334.60974932,37687380.27589359
ASM,2021,660221.6718733667,316.2595633437494,34.68568781306369,678374.1443800487,695302.4198194834
ATA,2021,691142.1879735539,101.0005309882,38.4651320122,704466.8152312445,709849.3247609359
ATF,2021,46841.12556729148,10.156244422721528,2.616279083406443,47852.93438058435,48392.68946909723
ATG,2021,1983840.0081594454,4196.089183221244,95.85375322614472,2125750.6170203746,2351940.0625589616
AUS,2021,1131800621.6228557,15481714.003283657,324391.31821204495,1679117745.7992122,2528575284.9474387
AUT,2021,147074645.7452165,619634.66935106,26564.570603530447,176583629.51024628,213697717.34607798
AZE,2021,139741569.0139915,1649713.768322256,20419.754220218798,195358681.41918322,289756334.328263
BDI,2021,15531407.398605911,316216.58375847124,10228.746440230729,27775017.941470873,45268738.01250154
BEL,2021,220671538.409164,710881.538434016,66056.0205622971,264529386.7994537,308270653.1161765
BEN,2021,17779019.53951746,384413.42950193794,14187.11799312819,34173535.39417058,56863692.033291265
BES,2021,2537558.4391389433,460.7852699144425,53.00908440689589,2564892.4377280604,2589513.0913076866
BFA,2021,21323553.024547003,1445298.7848018801,57862.20641812694,79607871.06829035,159334362.74173617
BGD,2021,308875450.8822719,10401629.50026573,200893.9048995103,657918667.9930768,1225608713.6842282
