country,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
ABW,2018,2601626.2682143254,1762.4225682973097,89.41518368338161,2674505.462093797,2768828.4946146416
AFG,2018,46651226.777714655,1409423.6720757089,30591.18436592768,95101729.36356008,172231843.26687658
AGO,2018,121351059.22653894,2725829.3521677833,31598.20631250994,207020452.37440804,353536250.42599016
AIA,2018,398851.8862452533,291.181442333198,5.883096399515084,408410.99589266826,424007.53456558374
ALA,2018,712885.024320366,375.76308393806164,41.10740707384045,735020.9885032792,754921.6995229191
ALB,2018,20288337.151581533,322634.196919882,8312.518424159647,31873037.02594819,49565074.56380024
AND,2018,481767.3875988816,5338.358777061698,51.16494050320523,644728.2481651285,929263.2317818576
ARE,2018,639252910.4275452,3221019.1221672394,15208.81106293897,770968582.3455893,982429793.3791863
ARG,2018,658703277.6967378,9701503.218463004,288168.2276104307,1034263880.5325991,1580604475.0709527
ARM,2018,17598936.612203043,147436.63339412148,4812.329884155003,23626260.02252786,32402872.75367226
ASM,2018,696891.6162155279,366.19710261702534,36.512799998425535,716908.0719768152,736511.510883822
ATA,2018,9676912.387981292,35573.076729841705,610.4478514385551,9904284.131088488,10023295.015361669
ATF,2018,12809.294700047813,4.46830566726977,0.6747347783888846,13120.423050543955,13358.716325703012
ATG,2018,2199500.018469079,4271.446675229317,106.40065631926151,2346438.008439161,2576632.649663376
AUS,2018,1180556428.2272356,15671042.491997467,290480.5463011042,1720402470.0293362,2577332922.8370614
AUT,2018,154442890.3763361,620579.7819172246,26682.66195475744,183989254.41928145,221254532.84705576
AZE,2018,128788394.64787152,1472451.7826848584,19454.641001102347,178565412.01816896,262657730.98403385
BDI,2018,13998961.40170392,323768.0070175795,10012.08371109587,26270983.308051255,44040017.68250959
BEL,2018,231095474.62473938,724819.6438242602,65672.68508540833,276349585.99799985,321410857.0927008
BEN,2018,15253180.73252431,404946.1665536183,13445.247449666473,31610562.86983128,54971261.45973847
BES,2018,6584753.473258279,460.20274560359815,61.74990400834557,6614543.905193552,6639114.810326115
BFA,2018,18802863.908004742,1421350.579905201,56385.46525942572,75522034.42872147,153457638.7455681
BGD,2018,288287920.0808067,10811920.632641098,188166.99143134608,646740891.7156162,1240485230.4396799
BGR,2018,105921276.47950925,603226.1240946457,31295.00116242344,135662119.17245078,173254193.7918003
BHR,2018,90205180.34713954,1856159.1002784402,1614.8276201702336,146054278.49964464,248657261.28441235
BHS,2018,12269854.448705958,23150.46068725375,581.6868846729561,13061868.758360928,14301692.24717306
BIH,2018,61609277.06368009,818047.220159322,8497.344819698732,87865377.0001321,131697202.14348897
BLM,2018,79466.26148503277,912.1105317937704,108.79863678745852,133988.9954972072,182874.20856521215
BLR,2018,236069525.77764073,1183133.0145806621,202702.99908148687,324017032.54078424,387513902.677018
BLZ,2018,3996278.850478844,51520.3907391538,745.0255788134715,5634685.8094502725,8381944.682932383
BMU,2018,2516407.1044267793,2451.1538547848063,65.34457254716777,2601294.4066497562,2732570.319480294
BOL,2018,108591536.26803865,2533542.9738054588,55099.92777277534,194315773.6703365,329547369.93744135
BRA,2018,1865915185.4046109,37503793.52068542,1068245.3520972508,3230052734.8500624,5273943999.203324
BRB,2018,4865793.333847752,13794.19725379344,306.12204691280124,5326562.044800414,6065131.8901324365
BRN,2018,24354656.302693088,395290.44981984026,818.6170059058423,36117452.27789759,57701726.322449185
BTN,2018,6794893.624308011,81692.33727486587,1325.1227454435784,9474778.015405936,13818916.736511096
BVT,2018,0.0,0.0,0.0,0.0,0.0
BWA,2018,37537711.94429661,242743.2930996186,4433.215122445654,46176035.52582078,59927400.7383447
CAF,2018,5354636.321044319,439591.9317406592,18192.10878850027,23273354.131089937,47604180.352901466
CAN,2018,1759509814.342892,8398216.651006809,273381.3106058142,2111108306.4764168,2590824926.5916758
CCK,2018,16483.95874680107,10.857758029518143,0.3384791860340891,16872.562461828446,17454.23787261314
CHE,2018,82141056.74430966,411726.31472459144,16626.577881537025,101688469.97525741,127248627.48677592
CHL,2018,225515886.71118963,1430686.5414130748,50443.19374925058,295698572.1719142,386602708.604817
CHN,2018,25410913783.996273,133741571.04250139,2959492.56503823,30826452762.82139,38367839681.863434
CIV,2018,52056224.3060063,874380.7209744042,19172.527078384977,85416739.23771802,136778343.58723387
CMR,2018,49834564.87130028,1667933.7930347607,36345.44571927865,111927295.06691578,207310309.32560584
COD,2018,51592128.19186732,1599239.2184552918,21666.868469375295,106365239.51399946,196450168.16864163
COG,2018,31389806.696629062,1229676.9509124653,3460.649498114167,67279801.96219772,133566627.72994019
