country,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
ABW,2019,2388754.3232109374,1767.1812860699756,82.3405631173249,2459816.3079741756,2554397.432567434
AFG,2019,41852274.7099106,1410932.7910322025,30011.96360174724,90311002.05769986,167694944.56119323
AGO,2019,118216383.59624094,2624655.9932610807,32215.691160166945,201323601.40175948,342561697.21335155
AIA,2019,384535.34024094784,291.46345450342056,5.686811076334938,394045.6767398159,409658.37405364047
ALA,2019,680010.3906234595,365.192696326061,40.3055715915399,701609.4872297384,720954.087605594
ALB,2019,18472515.227538947,312065.4187638275,8314.616021909245,29803330.081700563,46971947.98378017
AND,2019,473014.1637744042,5382.0779628050095,52.16566146104196,637462.4534563054,924329.4863437726
ARE,2019,634458557.0347794,3277884.045017847,14858.005811228073,771114435.090727,989504596.0780152
ARG,2019,634417766.0655786,9679625.344237017,296821.8817288551,1014133352.338838,1562133509.6457057
ARM,2019,19772835.819830254,147207.99772164968,5029.669515818966,25895061.19235954,34708320.69251122
ASM,2019,660569.9449766582,346.4799916045527,34.924737355507844,679605.9899333102,698155.1262384062
ATA,2019,10356697.7380729,40331.82494971227,658.8209079319943,10603521.638120323,10734819.28160166
ATF,2019,13957.914859131237,4.673378616306774,0.7438957671442753,14294.06812694383,14543.234592094886
ATG,2019,2034533.5015715687,4200.355809745102,98.62974534560128,2177344.323842043,2403750.7464667177
AUS,2019,1149927449.1633177,15478116.191027764,274222.4850373489,1681803676.9905179,2530039275.893145
AUT,2019,149048474.63304737,616715.6857094797,26851.554660915695,178493587.60895216,215433771.9193744
AZE,2019,130567133.08148941,1484595.891489906,20251.651830348706,181132782.63225698,266196791.02967855
BDI,2019,14533205.059612978,313979.5948647792,9564.210314295315,26453384.007052474,43751075.74788849
BEL,2019,219536932.6372769,717513.5894481327,65812.66180572344,264230879.10106313,308624784.7151837
BEN,2019,15912611.779036598,400990.3156632615,13689.607212117744,32381256.56104142,55694226.228480294
BES,2019,6434698.010540062,451.57483662010463,55.09646410720589,6462391.894768231,6486510.677172568
BFA,2019,19699032.877798483,1458434.6840018933,55876.391390275974,77486987.98403732,157603346.95767564
BGD,2019,285032407.0306552,10815632.780176437,191400.473083627,644828124.64223,1239213445.5603662
BGR,2019,99056229.82288823,607207.9134207336,30929.64411910092,128478331.82658195,165568596.08889213
BHR,2019,92313304.05846086,1897026.5224057825,1645.3703778420838,149623711.66697732,254770645.48930532
BHS,2019,12709888.47794028,23483.921449983343,616.5560143360835,13520821.45885803,14778451.012847139
BIH,2019,60670685.44449333,811249.8482699873,8409.580874064732,86743740.65924372,130204633.1998625
BLM,2019,74794.33516538944,929.7362020101568,111.11681306179489,130428.79146829562,180258.93363522305
BLR,2019,229797644.69050446,1182798.0111304119,203482.4945671965,317947979.51648986,381427712.95391726
BLZ,2019,3752584.835124128,52266.96320727597,748.8143959241394,5412794.895952272,8199867.283218343
BMU,2019,2194736.2799074976,2415.0982369892095,51.352745095363495,2274732.8434027364,2404096.403263002
BOL,2019,100428032.2820769,2535972.02017399,55854.01970809222,186408823.8385524,321785450.25767505
BRA,2019,1857351696.2505496,38395906.01220512,1093761.9180828335,3255083108.1772723,5349253505.123551
BRB,2019,4934922.545926608,13811.688586698578,322.49005562736596,5400753.087181068,6140246.386348255
BRN,2019,27459077.95746195,371642.10235874413,872.7242945393559,38622558.68481888,58985917.32676485
BTN,2019,6296181.856701094,97949.73634974158,1323.4650929590782,9430528.734979287,14640728.982220694
BVT,2019,0.0,0.0,0.0,0.0,0.0
BWA,2019,34231195.66004725,233495.23309756393,4345.487851081036,42655143.122013845,55990468.73380035
CAF,2019,5582535.0462581115,447177.25890670205,18522.885950266736,23875126.4387631,48694963.059817374
CAN,2019,1700609987.9020033,7924915.844985634,276687.87080658256,2040308468.7433107,2495421565.166648
CCK,2019,16074.302958482765,10.918858763943865,0.33434381205885755,16463.404949527034,17048.367373591485
CHE,2019,76270259.55905057,412262.91751006036,16635.600999492734,95714514.73270348,121233320.87007843
CHL,2019,218037095.19388035,1447841.4054397398,49977.77200502748,290340015.3648069,383606872.8464595
CHN,2019,26152449159.600426,136459447.2278526,3004031.2791632675,31700074320.06825,39419965204.91357
CIV,2019,52884642.94147604,852933.2429677958,19618.18967934858,86180990.19793424,136837353.0291602
CMR,2019,50962269.34871567,1698419.1753049488,36869.038989073866,114596554.41382182,212225915.60235602
COD,2019,56749994.40757376,1631322.1496458584,22056.084847541922,112920411.48649836,205184322.03451213
COG,2019,31201197.446418345,1198812.063605295,3486.623113145341,66297676.42617192,131011122.26160084
COK,2019,388756.59266771865,1260.4736242999074,33.00484212275397,432730.33617502847,499995.86969035986
COL,2019,212703757.08807322,6531717.524086009,135605.77792202996,445789625.4643111,812645633.1942015
COM,2019,1479074.9627677728,28514.669199485546,300.01222777381423,2347464.905093679,3872506.0611164863
CPV,2019,3146232.958820766,10025.459492797661,437.56112694029275,3544920.248686282,4079886.5354632274
CRI,2019,18004060.494244922,447263.37726546574,9807.130302118563,33965785.4948377,59008235.964345925
CUB,2019,73404947.71481383,935048.3717438201,26086.25825284992,107487260.18097441,158851801.24047735
CUW,2019,2923679.13339609,1033.9607347334504,108.2453626174944,2982521.9598308885,3037559.4751093546
CXR,2019,42127.96721782443,46.94528742590123,0.8439731138197822,43637.93271299803,46153.28315156303
CYM,2019,2465602.4499892537,1869.2650446703205,58.35974159787047,2532660.3077853597,2632763.57735307
CYP,2019,15993667.739082314,120532.32206498194,2059.4641627103833,20662413.225795493,28083663.088634867
CZE,2019,207141561.01440912,917804.9397658684,42697.243540107935,252890803.94289964,312744482.81327885
DEU,2019,1494587049.1017728,4758463.429239708,265615.51930322417,1734663873.4942875,2011990304.9871378
DJI,2019,3407988.629115577,77752.72294068453,1682.032804151259,6015745.135909127,10169854.565111417
DMA,2019,808970.7594533837,3906.0154752168837,61.46103716099087,932399.9820252273,1141610.4105299304
DNK,2019,81195306.71653153,856193.0328233104,37580.86467074386,116337636.88903984,162998032.79091543
DOM,2019,56323864.18005472,815866.9957490055,19400.38195693548,87453210.01963311,135200161.52044693
DZA,2019,468916764.6232822,5711567.803345381,64283.8129163212,651497127.1738724,960624420.5842922
ECU,2019,91770422.20008452,1744520.1227835151,30622.82199476753,149908788.8512091,244998465.53539452
EGY,2019,525426946.17912966,4104197.2874283968,171998.3238250412,717464677.8658582,966128772.7395507
ERI,2019,7916159.417316087,281807.8914874178,7956.890449231398,17899563.048408993,32944782.792505234
ESH,2019,2539170.604778282,11141.74366126531,239.4631947056606,2907836.7304105363,3504955.0163712977
ESP,2019,524078564.37919223,3307184.100259871,174952.72007384963,678254846.1897227,866179641.7934532
EST,2019,45296096.507709906,131364.33197300142,13408.222064185067,53139099.690660946,60619696.60084093
ETH,2019,97236183.29340546,7668206.324943513,307167.26386873244,395831617.3262144,804424724.7646296
FIN,2019,161662934.54448488,479035.19713165937,49642.045965096826,191069440.1049445,218838366.51589325
FJI,2019,6419115.158126836,60024.638237705636,897.5558899417331,8706115.293522649,12371883.915945023
FLK,2019,11643029.1735901,122.44480602488291,7907.2479869775425,13805081.004788904,13811559.783936372
FRA,2019,777571542.3790674,4891565.261620133,275751.0842942907,1029752265.4066595,1324263349.0244474
FRO,2019,2129728.045039801,3415.4803461777665,457.40509248806825,2348547.519772985,2531193.8561398406
FSM,2019,981287.0390469894,2248.319912437439,77.44086532115482,1064589.5115388748,1184696.2681448928
GAB,2019,24098063.975485478,888307.4224969994,2899.3450438803743,51731084.39503961,101487427.5599741
GBR,2019,782246045.7889174,3986115.1053374903,220818.07101223833,983339757.9478872,1227945333.7182019
GEO,2019,36903102.08143184,252405.49672322616,10435.148450404222,47543900.40766395,62054921.45260614
GGY,2019,273214.0477113463,202.7579077541218,36.55793255048529,288744.8185041931,299604.3135852435
GHA,2019,69994658.73549224,1222088.3618782954,25222.504828707715,114657013.65357561,184471769.76301643
GIB,2019,7279337.398017766,2155.930200513568,414.5877007500719,7454247.209214055,7569134.22539724
GIN,2019,41020946.406727396,1596201.5880159168,32143.694419863,95405056.47464693,182508363.7762674
GLP,2019,7314490.028008339,7449.460177761602,256.5118641627461,7588609.09682998,7987361.06686737
GMB,2019,4641575.657020549,95502.68211269694,2105.847284562807,7864722.488933863,12963720.326708192
GNB,2019,3398889.665399772,162988.98519211376,4027.8838920775415,9041575.565065263,17736823.52471078
GNQ,2019,20952064.593936693,453869.99463007954,399.4178913079878,34211639.46323092,58889928.50857779
GRC,2019,165493829.60638756,772792.057694616,32269.564151378414,208307693.92282295,262295953.25457367
GRD,2019,1301894.2025503719,3467.9775502347015,70.07124337028534,1422511.447063457,1606402.5719527043
GRL,2019,1692002.1999148563,4240.834558996307,51.47633338171539,1821560.1145187342,2048784.4085962428
GTM,2019,47727812.86396396,1229740.4977306544,29359.389873918466,90506289.00957377,156938029.93604106
GUF,2019,1917553.7408936694,5378.304484798963,141.0733009945792,2105242.238451135,2392509.284739527
GUM,2019,4625521.026358753,1371.421089280626,157.65248653791218,4705822.711567615,4778615.065415878
GUY,2019,13485001.496599931,233970.92508781442,2868.2962497304447,20695044.605896514,33209057.27839053
HKG,2019,112892949.57943957,318802.9969859652,7425.669366544218,124044839.5329172,141007734.27529916
HMD,2019,0.0,0.0,0.0,0.0,0.0
HND,2019,29160183.42886256,642535.6567542588,17569.25959691319,53032046.61067169,88961335.818913
HRV,2019,42945253.336875506,270069.1912033227,18080.153123364384,56666376.362206586,72275080.45186363
HTI,2019,10833267.7642397,429465.7827534191,9205.150823050159,25304523.00017913,48208759.037741676
HUN,2019,125364558.88888194,588181.0583283986,55487.14897737838,162463011.72650757,199259086.64537305
IDN,2019,1913469380.7281613,25871697.8536209,475730.29009244236,2798668971.1169705,4221200770.849219
IMN,2019,1537533.72998753,301.37329779328377,74.55037372167786,1566112.0270016545,1582255.4110463052
IND,2019,4851074717.666227,54114953.374152124,1705462.9682804723,6960272250.550294,9975092348.432787
IOT,2019,315134.2636979099,33.82022406638044,11.099877160548063,319152.6954016175,320949.7712770301
IRL,2019,103002783.40735132,1251012.4254988008,49317.743540658674,152893421.5270417,221822608.49764147
