country,co2,ch4,n2o,co2e_100yr,co2e_20yr
ASM,653516.6539543278,402.43446682246605,35.35444721239965,674204.701120468,695750.1791665371
AUT,158904771.09717745,621028.2817726178,27412.366910374974,188582957.27568898,225818989.05229682
ATF,27269.603787381606,6.892921081490022,1.50134874045335,27879.127454352943,28245.92886597177
ALA,697061.1137013223,379.49877278501424,41.269547285671976,719355.5160951881,739452.1120331438
ATG,2020219.5809154913,4411.719518819951,101.7026799057518,2169680.1128875623,2407393.6875338214
ABW,2400669.6286366256,1731.8377337308134,83.43705145074566,2471064.6962599615,2563752.6140316925
AZE,118860238.3325179,1447028.6564690478,16588.819168290094,166660124.1189922,248823388.89913762
AND,463464.43838332774,5240.703460373176,48.09710459850772,622854.122967412,902186.3806132162
AGO,127826942.29375492,2978912.6474576076,30484.955036520863,220055826.33539712,379826622.05176073
ATA,6927898.657031311,25541.49218852636,437.7093313883373,7091023.418464003,7176570.963867237
ARG,661154889.3013247,9480566.654752262,282195.1647007148,1023906571.5832981,1552637501.4877868
ARM,15923997.392830444,164124.72813269266,5005.547104396639,22380628.161289252,31946924.06645744
ALB,20013788.24252775,330349.0760301398,8885.029976663114,31892492.491999064,49910614.24666695
AIA,410844.247039459,288.15610067939684,6.152380369449377,420395.51246560755,435829.65002574853
BDI,11635957.265920728,314436.3401952489,9386.35570204551,23388988.620971337,40555686.96589915
ARE,639498305.1573689,3355315.731031845,15062.787315291509,767713933.2178913,978298938.1120112
AUS,1149336853.2105496,14936619.77506316,302714.5305313758,1670358974.1911407,2487141234.71129
AFG,41303266.21147991,1359307.2061471627,27390.796926108884,87208705.72709726,161315916.97860762
BMU,2369649.656807046,2465.9990870358947,60.36224030753733,2453539.9963535834,2585616.154987941
BEL,228579730.81016767,742220.6044979641,65249.03310103995,274956795.95339984,321496714.602567
BES,6144174.40399139,432.8013328348177,54.09950694129335,6171079.574768456,6194192.93017771
BTN,5681825.25490884,77899.4501608829,1273.7381217890115,8239923.179188374,12382444.194379313
BLR,228836554.6161111,1183333.0029133484,204450.27457775452,317261416.6765277,380770609.78978336
BRB,4460420.87043938,13586.854671614923,306.76845549260054,4915631.750013724,5643126.703515883
BHR,82772476.226366,1844177.28624076,1461.1501940116427,137565719.68781272,238784434.63585216
BVT,0.0,0.0,0.0,0.0,0.0
